PLAYER CONTRACT SUMMARY
Player Name,Andrej#5 Sekera
NHL Player ID,8471284
Official Name,Andrej Sekera
Current Team,EDM
Position,D
Number,#2
Export Date,2025-10-17 14:46:36

DATA SUMMARY
Total Contracts,6
Total Contract Details,18

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),DAL,2020-10-04,2,3000000,,"UFACap Percent : -%Signing Team: Dallas StarsSigning Date: Oct. 4, 2020"
Standard Contract,DAL,2019-07-01,1,2000000,,"UFACap Percent : -%Signing Team: Dallas StarsSigning Date: Jul. 1, 2019"
Standard Contract,EDM,2015-07-01,6,33000000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 1, 2015"
Standard Contract,BUF,2011-07-19,4,11000000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 19, 2011"
Standard Contract,BUF,2009-07-20,2,2000000,,"RFA (Arb)Cap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 20, 2009"
Entry-Level Contract,BUF,2006-07-14,3,2025000,,"RFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 14, 2006"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2020-21,-,"$1,500,000",1.8%,"$1,500,000",$0,$0,"$1,500,000","$1,500,000",-
2021-22,-,"$1,500,000",1.8%,"$1,500,000",$0,$0,"$1,500,000","$1,500,000",-
2019-20,-,"$1,500,000",1.8%,"$2,000,000","$500,000",$0,"$1,500,000","$1,500,000",-
2015-16,NMC,"$5,500,000",7.7%,"$5,500,000",$0,$0,"$6,500,000","$6,500,000",-
2016-17,NMC,"$5,500,000",7.5%,"$5,500,000",$0,$0,"$6,500,000","$6,500,000",-
2017-18,NMC,"$5,500,000",7.3%,"$5,500,000",$0,$0,"$5,500,000","$5,500,000",-
2018-19,NMC,"$5,500,000",6.9%,"$5,500,000",$0,$0,"$5,500,000","$5,500,000",-
2019-20,M-NTC,"$5,500,000",6.7%,"$5,500,000",$0,$0,"$4,500,000","$4,500,000",-
2020-21,M-NTC,"$5,500,000",6.7%,"$5,500,000",$0,$0,"$4,500,000","$4,500,000",-
2011-12,-,"$2,750,000",4.3%,"$2,750,000",$0,"$3,000,000","$1,250,000","$4,250,000",-
2012-13,-,"$2,750,000",4.6%,"$2,750,000",$0,"$1,750,000","$1,500,000","$3,250,000",-
2013-14,-,"$2,750,000",4.3%,"$2,750,000",$0,$0,"$1,750,000","$1,750,000",-
2014-15,-,"$2,750,000",4.0%,"$2,750,000",$0,$0,"$1,750,000","$1,750,000",-
2009-10,-,"$1,000,000",1.8%,"$1,000,000",$0,$0,"$750,000","$750,000",-
2010-11,-,"$1,000,000",1.7%,"$1,000,000",$0,$0,"$1,250,000","$1,250,000",-
2006-07,-,"$650,000",1.5%,"$675,000",$0,"$183,000","$450,000","$633,000","$60,000"
2007-08,-,"$650,000",1.3%,"$675,000",$0,"$183,000","$475,000","$658,000","$60,000"
2008-09,-,"$650,000",1.1%,"$675,000","$75,000","$184,000","$475,000","$659,000","$60,000"

