PLAYER CONTRACT SUMMARY
Player Name,Anthony#11 Duclair
NHL Player ID,8477407
Official Name,Anthony Duclair
Current Team,NYI
Position,L
Number,#11
Export Date,2025-10-16 16:38:41

DATA SUMMARY
Total Contracts,7
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,NYI,2024-07-01,4,14000000,,"UFACap Percent : 3.7%Signing Team: New York IslandersSigning Date: Jul. 1, 2024"
Standard Contract (Extension),FLA,2021-07-15,3,9000000,,"UFACap Percent : -%Signing Team: Florida PanthersSigning Date: Jul. 15, 2021"
Standard Contract,FLA,2020-12-17,1,1700000,,"RFA (Arb)Cap Percent : -%Signing Team: Florida PanthersSigning Date: Dec. 17, 2020"
Standard Contract (Extension),OTT,2019-06-17,1,1650000,,"UFA (No QO)Cap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jun. 17, 2019"
Standard Contract,CBJ,2018-07-05,1,650000,,"RFA (Arb)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jul. 5, 2018"
Standard Contract,ARI,2017-09-03,1,1200000,,"UFA (No QO)Cap Percent : -%Signing Team: Arizona CoyotesSigning Date: Sep. 3, 2017"
Entry-Level Contract,NYR,2014-01-09,3,2775000,,"RFACap Percent : -%Signing Team: New York RangersSigning Date: Jan. 9, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,NTC,"$3,500,000",4.0%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2025-26,NTC,"$3,500,000",3.7%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2026-27,M-NTC,"$3,500,000",3.4%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2027-28,M-NTC,"$3,500,000",3.1%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2021-22,-,"$3,000,000",3.7%,"$3,000,000",$0,"$500,000","$1,500,000","$2,000,000",-
2022-23,-,"$3,000,000",3.6%,"$3,000,000",$0,$0,"$3,000,000","$3,000,000",-
2023-24,-,"$3,000,000",3.6%,"$3,000,000",$0,$0,"$4,000,000","$4,000,000",-
2020-21,-,"$1,700,000",2.1%,"$1,700,000",$0,$0,"$1,700,000","$1,700,000",-
2019-20,-,"$1,650,000",2.0%,"$1,650,000",$0,$0,"$1,650,000","$1,650,000",-
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000",-
2017-18,-,"$1,200,000",1.6%,"$1,200,000",$0,$0,"$1,200,000","$1,200,000",-
2013-14,-,"$803,333",1.2%,"$925,000",$0,"$92,500",-,-,-
2014-15,-,"$772,500",1.1%,"$894,167","$182,500","$92,500","$650,000","$742,500","$70,000"
2015-16,-,"$772,500",1.1%,"$894,167","$182,500","$92,500","$650,000","$742,500","$70,000"
2016-17,-,"$772,500",1.1%,"$894,167",$0,$0,"$832,500","$832,500","$70,000"

