PLAYER CONTRACT SUMMARY
Player Name,Brandon#26 Manning
NHL Player ID,8475430
Official Name,Brandon Manning
Current Team,PHI
Position,D
Number,#23
Export Date,2025-10-17 15:12:44

DATA SUMMARY
Total Contracts,6
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CHI,2018-07-01,2,4500000,,"UFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Jul. 1, 2018"
Standard Contract,PHI,2016-07-26,2,1950000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Jul. 26, 2016"
Standard Contract (Extension),PHI,2015-04-10,1,625000,,"RFA (Arb)Cap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Apr. 10, 2015"
Standard Contract,PHI,2014-08-27,1,700000,,"RFA (Arb)Cap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Aug. 27, 2014"
Standard Contract,PHI,2013-08-29,1,675000,,"RFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Aug. 29, 2013"
Entry-Level Contract,PHI,2010-11-22,3,2700000,,"RFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Nov. 22, 2010"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2018-19,-,"$2,250,000",2.8%,"$2,250,000",$0,"$500,000","$2,000,000","$2,500,000",-
2019-20,-,"$2,250,000",2.8%,"$2,250,000",$0,$0,"$2,000,000","$2,000,000",-
2016-17,-,"$975,000",1.3%,"$975,000",$0,"$100,000","$850,000","$950,000",-
2017-18,-,"$975,000",1.3%,"$975,000",$0,$0,"$1,000,000","$1,000,000",-
2015-16,-,"$625,000",0.9%,"$625,000",$0,$0,"$625,000","$625,000",-
2014-15,-,"$700,000",1.0%,"$700,000",$0,$0,"$700,000","$700,000","$100,000"
2013-14,-,"$675,000",1.0%,"$675,000",$0,$0,"$675,000","$675,000","$80,000"
2010-11,-,"$715,000",1.2%,"$900,000","$210,000","$90,000","$600,000","$690,000","$60,000"
2011-12,-,"$715,000",1.1%,"$900,000","$185,000","$90,000","$625,000","$715,000","$60,000"
2012-13,-,"$715,000",1.2%,"$900,000","$160,000","$90,000","$650,000","$740,000","$65,000"

