PLAYER CONTRACT SUMMARY
Player Name,Brian#32 Lashoff
NHL Player ID,8474873
Official Name,Brian Lashoff
Current Team,DET
Position,D
Number,#32
Export Date,2025-10-17 15:12:22

DATA SUMMARY
Total Contracts,6
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,DET,2021-07-30,1,750000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 30, 2021"
Standard Contract (Extension),DET,2019-03-13,2,1400000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Mar. 13, 2019"
Standard Contract (Extension),DET,2017-06-28,2,1300000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jun. 28, 2017"
Standard Contract (Extension),DET,2016-06-14,1,650000,,"RFA (Arb)Cap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jun. 14, 2016"
Standard Contract (Extension),DET,2013-02-25,3,2175000,,"RFA (Arb)Cap Percent : -%Signing Team: Detroit Red WingsSigning Date: Feb. 25, 2013"
Entry-Level Contract,DET,2008-10-01,3,1590000,,"RFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Oct. 1, 2008"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$325,000"
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$275,000"
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$275,000"
2017-18,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000","$275,000"
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000","$275,000"
2016-17,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000","$250,000"
2013-14,-,"$725,000",1.1%,"$725,000",$0,"$100,000","$550,000","$650,000",-
2014-15,-,"$725,000",1.1%,"$725,000",$0,$0,"$675,000","$675,000",-
2015-16,-,"$725,000",1.0%,"$725,000",$0,$0,"$850,000","$850,000",-
2008-09,-,"$538,333",0.9%,"$538,333",$0,"$20,000",-,-,-
2009-10,-,"$531,667",0.9%,"$531,667",$0,"$20,000",-,-,-
2010-11,-,"$525,000",0.9%,"$525,000",$0,"$25,000","$500,000","$525,000","$50,000"
2011-12,-,"$525,000",0.8%,"$525,000",$0,$0,"$525,000","$525,000","$50,000"
2012-13,-,"$525,000",0.9%,"$525,000",$0,$0,"$525,000","$525,000","$50,000"

