PLAYER CONTRACT SUMMARY
Player Name,Bryan# Little
NHL Player ID,8473412
Official Name,Bryan Little
Current Team,WPG
Position,C
Number,#18
Export Date,2025-10-17 15:12:19

DATA SUMMARY
Total Contracts,4
Total Contract Details,17

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),WPG,2017-09-14,6,31750000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Sep. 14, 2017"
Standard Contract,WPG,2013-07-22,5,23500000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 22, 2013"
Standard Contract,ATL,2010-08-24,3,7150000,,"RFA (Arb)Cap Percent : -%Signing Team: Atlanta ThrashersSigning Date: Aug. 24, 2010"
Entry-Level Contract,ATL,2007-04-20,3,2700000,,"RFACap Percent : -%Signing Team: Atlanta ThrashersSigning Date: Apr. 20, 2007"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2018-19,NMC,"$5,291,667",6.7%,"$5,291,667",$0,$0,"$6,500,000","$6,500,000",-
2019-20,NMC,"$5,291,667",6.5%,"$5,291,667",$0,$0,"$6,500,000","$6,500,000",-
2020-21,M-NTC,"$5,291,667",6.5%,"$5,291,667",$0,$0,"$4,250,000","$4,250,000",-
2021-22,M-NTC,"$5,291,667",6.5%,"$5,291,667",$0,$0,"$6,000,000","$6,000,000",-
2022-23,M-NTC,"$5,291,667",6.4%,"$5,291,667",$0,$0,"$4,750,000","$4,750,000",-
2023-24,M-NTC,"$5,291,667",6.3%,"$5,291,667",$0,$0,"$3,750,000","$3,750,000",-
2013-14,-,"$4,700,000",7.3%,"$4,700,000",$0,$0,"$4,000,000","$4,000,000",-
2014-15,M-NTC,"$4,700,000",6.8%,"$4,700,000",$0,$0,"$4,750,000","$4,750,000",-
2015-16,M-NTC,"$4,700,000",6.6%,"$4,700,000",$0,$0,"$4,750,000","$4,750,000",-
2016-17,M-NTC,"$4,700,000",6.4%,"$4,700,000",$0,$0,"$5,000,000","$5,000,000",-
2017-18,M-NTC,"$4,700,000",6.3%,"$4,700,000",$0,$0,"$5,000,000","$5,000,000",-
2010-11,-,"$2,383,333",4.0%,"$2,383,333",$0,$0,"$1,650,000","$1,650,000",-
2011-12,-,"$2,383,333",3.7%,"$2,383,333",$0,$0,"$2,500,000","$2,500,000",-
2012-13,-,"$2,383,333",4.0%,"$2,383,333",$0,$0,"$3,000,000","$3,000,000",-
2007-08,-,"$850,000",1.7%,"$900,000","$150,000",$0,"$850,000","$850,000","$62,500"
2008-09,-,"$850,000",1.5%,"$900,000",$0,$0,"$850,000","$850,000","$62,500"
2009-10,-,"$850,000",1.5%,"$900,000",$0,$0,"$850,000","$850,000","$62,500"

