PLAYER CONTRACT SUMMARY
Player Name,Calle#43 Rosen
NHL Player ID,8480157
Official Name,Calle Rosen
Current Team,TOR
Position,D
Number,#48
Export Date,2025-10-18 14:52:40

DATA SUMMARY
Total Contracts,6
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,WSH,2025-07-02,1,775000,,"UFACap Percent : 0.8%Signing Team: Washington CapitalsSigning Date: Jul. 02, 2025"
Standard Contract,COL,2024-07-01,1,775000,,"UFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 1, 2024"
Standard Contract (Extension),STL,2022-06-01,2,1525000,,"UFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jun. 1, 2022"
Standard Contract,STL,2021-07-30,1,750000,,"UFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 30, 2021"
Standard Contract (Extension),TOR,2018-12-10,2,1500000,,"UFACap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: Dec. 10, 2018"
Entry-Level Contract,TOR,2017-05-16,2,3550000,,"RFA (Arb)Cap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: May 16, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$525,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$500,000"
2022-23,-,"$762,500",0.9%,"$762,500",$0,$0,"$750,000","$750,000","$400,000"
2023-24,-,"$762,500",0.9%,"$762,500",$0,$0,"$775,000","$775,000","$450,000"
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$300,000"
2019-20,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2020-21,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2017-18,-,"$925,000",1.2%,"$1,775,000","$850,000","$92,500","$832,500","$925,000","$70,000"
2018-19,-,"$925,000",1.2%,"$1,775,000","$850,000","$92,500","$832,500","$925,000","$70,000"

