PLAYER CONTRACT SUMMARY
Player Name,Calvin#30 Pickard
NHL Player ID,8475717
Official Name,Calvin Pickard
Current Team,EDM
Position,G
Number,#30
Export Date,2025-10-16 16:32:20

DATA SUMMARY
Total Contracts,8
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),EDM,2024-06-28,2,2000000,,"UFACap Percent : 1.0%Signing Team: Edmonton OilersSigning Date: Jun. 28, 2024"
Standard Contract,EDM,2022-07-13,2,1525000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 13, 2022"
Standard Contract,DET,2021-07-28,1,800000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 28, 2021"
Standard Contract,DET,2019-07-01,2,1500000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 1, 2019"
Standard Contract (Extension),TOR,2018-06-20,1,800000,,"UFACap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: Jun. 20, 2018"
Standard Contract,COL,2016-07-05,2,2000000,,"RFA (Arb)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 5, 2016"
Standard Contract,COL,2015-08-06,1,850000,,"RFA (Arb)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: Aug. 6, 2015"
Entry-Level Contract,COL,2011-03-25,3,2700000,,"RFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Mar. 25, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$1,000,000",1.1%,"$1,000,000",$0,"$150,000","$850,000","$1,000,000",-
2025-26,-,"$1,000,000",1.0%,"$1,000,000",$0,$0,"$1,000,000","$1,000,000",-
2022-23,-,"$762,500",0.9%,"$762,500",$0,$0,"$750,000","$750,000","$300,000"
2023-24,-,"$762,500",0.9%,"$762,500",$0,$0,"$775,000","$775,000","$300,000"
2021-22,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000","$250,000"
2019-20,-,"$750,000",0.9%,"$750,000",$0,$0,"$700,000","$700,000",-
2020-21,-,"$750,000",0.9%,"$750,000",$0,$0,"$800,000","$800,000",-
2018-19,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2016-17,-,"$1,000,000",1.4%,"$1,000,000",$0,$0,"$925,000","$925,000",-
2017-18,-,"$1,000,000",1.3%,"$1,000,000",$0,$0,"$1,075,000","$1,075,000",-
2015-16,-,"$850,500",1.2%,"$850,500",$0,$0,"$850,500","$850,500","$67,500"
2011-12,-,"$843,333",1.3%,"$900,000",$0,"$90,000",-,-,-
2012-13,-,"$813,333",1.4%,"$870,000","$110,000","$90,000","$700,000","$790,000","$67,500"
2013-14,-,"$813,333",1.3%,"$870,000","$60,000","$90,000","$750,000","$840,000","$67,500"
2014-15,-,"$813,333",1.2%,"$870,000",$0,$0,"$810,000","$810,000","$67,500"

