PLAYER CONTRACT SUMMARY
Player Name,Carson#24 Soucy
NHL Player ID,8477369
Official Name,Carson Soucy
Current Team,NYR
Position,D
Number,#24
Export Date,2025-10-16 16:40:28

DATA SUMMARY
Total Contracts,4
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,VAN,2023-07-01,3,9750000,,"UFACap Percent : 3.4%Signing Team: Vancouver CanucksSigning Date: Jul. 1, 2023"
Standard Contract (Extension),MIN,2020-10-05,3,8250000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Oct. 5, 2020"
Standard Contract,MIN,2019-07-16,1,750000,,"UFA (Group 6)Cap Percent : -%Signing Team: Minnesota WildSigning Date: Jul. 16, 2019"
Entry-Level Contract,MIN,2017-04-10,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: Minnesota WildSigning Date: Apr. 10, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,NTC,"$3,250,000",3.9%,"$3,250,000",$0,"$1,500,000","$2,500,000","$4,000,000",-
2024-25,NTC,"$3,250,000",3.7%,"$3,250,000",$0,$0,"$3,250,000","$3,250,000",-
2025-26,M-NTC,"$3,250,000",3.4%,"$3,250,000",$0,$0,"$2,500,000","$2,500,000",-
2020-21,-,"$2,750,000",3.4%,"$2,750,000",$0,$0,"$1,750,000","$1,750,000",-
2021-22,-,"$2,750,000",3.4%,"$2,750,000",$0,$0,"$3,000,000","$3,000,000",-
2022-23,-,"$2,750,000",3.3%,"$2,750,000",$0,$0,"$3,500,000","$3,500,000",-
2019-20,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$125,000"
2017-18,-,"$925,000",1.2%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2018-19,-,"$925,000",1.2%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

