PLAYER CONTRACT SUMMARY
Player Name,Christian#55 Ehrhoff
NHL Player ID,8469555
Official Name,Christian Ehrhoff
Current Team,CHI
Position,D
Number,#55
Export Date,2025-10-17 15:56:24

DATA SUMMARY
Total Contracts,6
Total Contract Details,27

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,LAK,2015-08-23,1,1500000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Aug. 23, 2015"
Standard Contract,PIT,2014-07-01,1,4000000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 1, 2014"
Standard Contract,BUF,2011-07-01,10,40000000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 1, 2011"
Standard Contract,SJS,2008-07-09,3,9300000,,"UFACap Percent : -%Signing Team: San Jose SharksSigning Date: Jul. 9, 2008"
Standard Contract,SJS,2006-07-25,2,1700000,,"RFA (Arb)Cap Percent : -%Signing Team: San Jose SharksSigning Date: Jul. 25, 2006"
Entry-Level Contract,SJS,2003-07-23,3,1258000,,"RFA (Arb)Cap Percent : -%Signing Team: San Jose SharksSigning Date: Jul. 23, 2003"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2015-16,-,"$1,500,000",2.1%,"$1,500,000",$0,$0,"$1,500,000","$1,500,000",-
2014-15,NMC,"$4,000,000",5.8%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2011-12,-,"$4,000,000",6.2%,"$4,000,000",$0,"$8,000,000","$2,000,000","$10,000,000",-
2012-13,-,"$4,000,000",6.7%,"$4,000,000",$0,"$5,000,000","$3,000,000","$8,000,000",-
2013-14,-,"$4,000,000",6.2%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2014-15,-,"$4,000,000",5.8%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2015-16,-,"$4,000,000",5.6%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2016-17,-,"$4,000,000",5.5%,"$4,000,000",$0,$0,"$4,000,000","$4,000,000",-
2017-18,-,"$4,000,000",5.3%,"$4,000,000",$0,$0,"$3,000,000","$3,000,000",-
2018-19,-,"$4,000,000",5.0%,"$4,000,000",$0,$0,"$1,000,000","$1,000,000",-
2019-20,-,"$4,000,000",4.9%,"$4,000,000",$0,$0,"$1,000,000","$1,000,000",-
2020-21,-,"$4,000,000",4.9%,"$4,000,000",$0,$0,"$1,000,000","$1,000,000",-
2021-22,-,-,-,-,$0,$0,-,-,-
2022-23,-,-,-,-,$0,$0,-,-,-
2023-24,-,-,-,-,$0,$0,-,-,-
2024-25,-,-,-,-,$0,$0,-,-,-
2025-26,-,-,-,-,$0,$0,-,-,-
2026-27,-,-,-,-,$0,$0,-,-,-
2027-28,-,-,-,-,$0,$0,-,-,-
2008-09,-,"$3,100,000",5.5%,"$3,100,000",$0,$0,"$2,750,000","$2,750,000",-
2009-10,-,"$3,100,000",5.5%,"$3,100,000",$0,$0,"$3,150,000","$3,150,000",-
2010-11,-,"$3,100,000",5.2%,"$3,100,000",$0,$0,"$3,400,000","$3,400,000",-
2006-07,-,"$850,000",1.9%,"$850,000",$0,$0,"$800,000","$800,000",-
2007-08,-,"$850,000",1.7%,"$850,000",$0,$0,"$900,000","$900,000",-
2003-04,-,"$419,333",-,"$419,333",$0,$0,"$650,000","$650,000",-
2004-05,-,$24,-,-,$0,$0,-,-,-
2005-06,-,"$419,333",1.1%,"$419,333",$0,$0,"$608,000","$608,000",-

