PLAYER CONTRACT SUMMARY
Player Name,Cody#12 Glass
NHL Player ID,8479996
Official Name,Cody Glass
Current Team,NJD
Position,C
Number,#12
Export Date,2025-10-16 16:36:37

DATA SUMMARY
Total Contracts,4
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NJD,2025-07-02,2,5000000,,"UFACap Percent : 2.6%Signing Team: New Jersey DevilsSigning Date: Jul. 02, 2025"
Standard Contract,NSH,2023-07-01,2,5000000,,"RFA (Arb)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 1, 2023"
Standard Contract (Extension),NSH,2022-06-24,1,874125,,"RFA (Arb)Cap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jun. 24, 2022"
Entry-Level Contract,VGK,2017-07-15,3,5325000,,"RFACap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Jul. 15, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$2,500,000",2.6%,"$2,500,000",$0,$0,"$2,500,000","$2,500,000",-
2026-27,-,"$2,500,000",2.4%,"$2,500,000",$0,$0,"$2,500,000","$2,500,000",-
2023-24,-,"$2,500,000",3.0%,"$2,500,000",$0,$0,"$2,500,000","$2,500,000",-
2024-25,-,"$2,500,000",2.8%,"$2,500,000",$0,$0,"$2,500,000","$2,500,000",-
2022-23,-,"$874,125",1.1%,"$874,125",$0,$0,"$874,125","$874,125","$70,000"
2017-18,-,"$925,000",1.2%,"$1,775,000",$0,"$92,500",-,-,-
2018-19,-,"$894,167",1.1%,"$1,744,167",$0,"$92,500",-,-,-
2019-20,-,"$863,333",1.1%,"$1,713,333","$850,000","$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$863,333",1.1%,"$1,713,333","$850,000",$0,"$832,500","$832,500","$70,000"
2021-22,-,"$863,333",1.1%,"$1,713,333","$850,000",$0,"$832,500","$832,500","$70,000"

