PLAYER CONTRACT SUMMARY
Player Name,Conor#8 Garland
NHL Player ID,8478856
Official Name,Conor Garland
Current Team,VAN
Position,R
Number,#8
Export Date,2025-10-16 16:50:27

DATA SUMMARY
Total Contracts,4
Total Contract Details,17

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),VAN,2025-07-01,6,36000000,,"UFACap Percent : -%Signing Team: Vancouver CanucksSigning Date: Jul. 01, 2025"
Standard Contract (Extension),VAN,2021-07-27,5,24750000,,"UFACap Percent : 5.2%Signing Team: Vancouver CanucksSigning Date: Jul. 27, 2021"
Standard Contract (Extension),ARI,2019-02-27,2,1550000,,"RFA (Arb)Cap Percent : -%Signing Team: Arizona CoyotesSigning Date: Feb. 27, 2019"
Entry-Level Contract,ARI,2015-12-23,3,2550000,,"RFACap Percent : -%Signing Team: Arizona CoyotesSigning Date: Dec. 23, 2015"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2026-27,-,"$6,000,000",5.8%,"$6,000,000",$0,$0,"$8,000,000","$8,000,000",-
2027-28,-,"$6,000,000",5.3%,"$6,000,000",$0,"$5,000,000","$2,000,000","$7,000,000",-
2028-29,-,"$6,000,000",4.9%,"$6,000,000",$0,"$3,000,000","$3,000,000","$6,000,000",-
2029-30,-,"$6,000,000",4.6%,"$6,000,000",$0,"$2,000,000","$3,000,000","$5,000,000",-
2030-31,-,"$6,000,000",4.3%,"$6,000,000",$0,"$2,000,000","$3,000,000","$5,000,000",-
2031-32,-,"$6,000,000",4.1%,"$6,000,000",$0,"$2,000,000","$3,000,000","$5,000,000",-
2021-22,-,"$4,950,000",6.1%,"$4,950,000",$0,$0,"$3,750,000","$3,750,000",-
2022-23,-,"$4,950,000",6.0%,"$4,950,000",$0,$0,"$4,000,000","$4,000,000",-
2023-24,-,"$4,950,000",5.9%,"$4,950,000",$0,$0,"$6,000,000","$6,000,000",-
2024-25,-,"$4,950,000",5.6%,"$4,950,000",$0,$0,"$6,000,000","$6,000,000",-
2025-26,-,"$4,950,000",5.2%,"$4,950,000",$0,$0,"$5,000,000","$5,000,000",-
2019-20,-,"$775,000",1.0%,"$775,000",$0,$0,"$750,000","$750,000",-
2020-21,-,"$775,000",1.0%,"$775,000",$0,$0,"$800,000","$800,000",-
2015-16,-,"$691,667",1.0%,"$833,333",$0,"$85,000",-,-,-
2016-17,-,"$680,556",0.9%,"$822,223","$190,000","$85,000","$575,000","$660,000","$70,000"
2017-18,-,"$680,556",0.9%,"$822,223","$165,000","$80,000","$650,000","$730,000","$70,000"
2018-19,-,"$680,556",0.9%,"$822,223","$70,000",$0,"$650,000","$650,000","$70,000"

