PLAYER CONTRACT SUMMARY
Player Name,Conor#21 Timmins
NHL Player ID,8479982
Official Name,Conor Timmins
Current Team,BUF
Position,D
Number,#21
Export Date,2025-10-16 16:24:30

DATA SUMMARY
Total Contracts,4
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),BUF,2025-07-27,2,4400000,,"UFACap Percent : 2.3%Signing Team: Buffalo SabresSigning Date: Jul. 27, 2025"
Standard Contract (Extension),TOR,2023-02-09,2,2200000,,"RFA (Arb)Cap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: Feb. 9, 2023"
Standard Contract,ARI,2021-08-06,2,1700000,,"RFACap Percent : -%Signing Team: Arizona CoyotesSigning Date: Aug. 6, 2021"
Entry-Level Contract,COL,2018-03-02,3,2775000,,"10.2(c)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: Mar. 2, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$2,200,000",2.3%,"$2,200,000",$0,$0,"$2,200,000","$2,200,000",-
2026-27,-,"$2,200,000",2.1%,"$2,200,000",$0,$0,"$2,200,000","$2,200,000",-
2023-24,-,"$1,100,000",1.3%,"$1,100,000",$0,$0,"$1,100,000","$1,100,000",-
2024-25,-,"$1,100,000",1.3%,"$1,100,000",$0,$0,"$1,100,000","$1,100,000",-
2021-22,-,"$850,000",1.0%,"$850,000",$0,$0,"$750,000","$750,000",-
2022-23,-,"$850,000",1.0%,"$850,000",$0,$0,"$950,000","$950,000",-
2018-19,-,"$925,000",1.2%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2019-20,-,"$925,000",1.1%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$925,000",1.1%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

