PLAYER CONTRACT SUMMARY
Player Name,David#33 Rittich
NHL Player ID,8479496
Official Name,David Rittich
Current Team,NYI
Position,G
Number,#33
Export Date,2025-10-16 16:39:34

DATA SUMMARY
Total Contracts,9
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,NYI,2025-07-01,1,1000000,,"UFACap Percent : 1.0%Signing Team: New York IslandersSigning Date: Jul. 01, 2025"
Standard Contract (Extension),LAK,2024-05-15,1,1000000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: May 15, 2024"
Standard Contract,LAK,2023-07-01,1,875000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 1, 2023"
Standard Contract,WPG,2022-07-13,1,900000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 13, 2022"
Standard Contract,NSH,2021-07-28,1,1250000,,"UFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 28, 2021"
Standard Contract,CGY,2019-07-27,2,5500000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 27, 2019"
Standard Contract,CGY,2018-07-26,1,800000,,"RFA (Arb)Cap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 26, 2018"
Standard Contract,CGY,2017-07-22,1,725000,,"RFA (Arb)Cap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 22, 2017"
Entry-Level Contract,CGY,2016-06-13,1,925000,,"RFA (Arb)Cap Percent : -%Signing Team: Calgary FlamesSigning Date: Jun. 13, 2016"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,000,000",1.0%,"$1,000,000",$0,$0,"$1,000,000","$1,000,000",-
2024-25,-,"$1,000,000",1.1%,"$1,000,000",$0,$0,"$1,000,000","$1,000,000",-
2023-24,-,"$875,000",1.0%,"$875,000",$0,$0,"$875,000","$875,000",-
2022-23,-,"$900,000",1.1%,"$900,000",$0,$0,"$900,000","$900,000",-
2021-22,-,"$1,250,000",1.5%,"$1,250,000",$0,$0,"$1,250,000","$1,250,000",-
2019-20,-,"$2,750,000",3.4%,"$2,750,000",$0,$0,"$2,750,000","$2,750,000",-
2020-21,-,"$2,750,000",3.4%,"$2,750,000",$0,$0,"$2,750,000","$2,750,000",-
2018-19,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2017-18,-,"$725,000",1.0%,"$725,000",$0,$0,"$725,000","$725,000","$110,000"
2016-17,-,"$925,000",1.3%,"$925,000",$0,"$92,500","$832,500","$925,000","$92,500"

