PLAYER CONTRACT SUMMARY
Player Name,Derek#21 Stepan
NHL Player ID,8474613
Official Name,Derek Stepan
Current Team,NYR
Position,C
Number,#21
Export Date,2025-10-17 13:02:00

DATA SUMMARY
Total Contracts,5
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CAR,2022-10-11,1,750000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Oct. 11, 2022"
Standard Contract,CAR,2021-07-31,1,1350000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 31, 2021"
Standard Contract,NYR,2015-07-27,6,39000000,,"UFACap Percent : -%Signing Team: New York RangersSigning Date: Jul. 27, 2015"
Standard Contract,NYR,2013-09-26,2,6150000,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: Sep. 26, 2013"
Entry-Level Contract,NYR,2010-06-09,3,2625000,,"RFACap Percent : -%Signing Team: New York RangersSigning Date: Jun. 9, 2010"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2021-22,-,"$1,350,000",1.7%,"$1,350,000",$0,$0,"$1,350,000","$1,350,000",-
2015-16,-,"$6,500,000",9.1%,"$6,500,000",$0,"$1,000,000","$7,000,000","$8,000,000",-
2016-17,-,"$6,500,000",8.9%,"$6,500,000",$0,"$1,000,000","$7,000,000","$8,000,000",-
2017-18,-,"$6,500,000",8.7%,"$6,500,000",$0,"$1,000,000","$6,000,000","$7,000,000",-
2018-19,-,"$6,500,000",8.2%,"$6,500,000",$0,$0,"$6,000,000","$6,000,000",-
2019-20,-,"$6,500,000",8.0%,"$6,500,000",$0,$0,"$5,000,000","$5,000,000",-
2020-21,-,"$6,500,000",8.0%,"$6,500,000",$0,"$3,000,000","$2,000,000","$5,000,000",-
2013-14,-,"$3,075,000",4.8%,"$3,075,000",$0,$0,"$2,300,000","$2,300,000",-
2014-15,-,"$3,075,000",4.5%,"$3,075,000",$0,$0,"$3,850,000","$3,850,000",-
2010-11,-,"$820,833",1.4%,"$875,000","$162,500","$87,500","$625,000","$712,500","$65,000"
2011-12,-,"$820,833",1.3%,"$875,000",$0,"$87,500","$787,500","$875,000","$65,000"
2012-13,-,"$820,833",1.4%,"$875,000",$0,"$87,500","$787,500","$875,000","$65,000"

