PLAYER CONTRACT SUMMARY
Player Name,Dougie#7 Hamilton
NHL Player ID,8476462
Official Name,Dougie Hamilton
Current Team,NJD
Position,D
Number,#7
Export Date,2025-10-16 16:37:16

DATA SUMMARY
Total Contracts,3
Total Contract Details,17

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,NJD,2021-07-28,7,63000000,,"UFACap Percent : 9.4%Signing Team: New Jersey DevilsSigning Date: Jul. 28, 2021"
Standard Contract (Extension),CGY,2015-06-30,6,34500000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jun. 30, 2015"
Entry-Level Contract,BOS,2011-12-08,3,4575000,,"RFACap Percent : -%Signing Team: Boston BruinsSigning Date: Dec. 8, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2021-22,NMC,"$9,000,000",11.0%,"$9,000,000",$0,"$5,550,000","$750,000","$6,300,000",-
2022-23,NMC,"$9,000,000",10.9%,"$9,000,000",$0,"$3,000,000","$3,300,000","$6,300,000",-
2023-24,NMC,"$9,000,000",10.8%,"$9,000,000",$0,"$2,000,000","$10,600,000","$12,600,000",-
2024-25,NMC,"$9,000,000",10.2%,"$9,000,000",$0,"$2,600,000","$10,000,000","$12,600,000",-
2025-26,"M-NTC, NMC","$9,000,000",9.4%,"$9,000,000",$0,"$10,550,000","$1,000,000","$11,550,000",-
2026-27,"M-NTC, NMC","$9,000,000",8.7%,"$9,000,000",$0,"$7,400,000","$1,000,000","$8,400,000",-
2027-28,"M-NTC, NMC","$9,000,000",7.9%,"$9,000,000",$0,$0,"$5,250,000","$5,250,000",-
2015-16,-,"$5,750,000",8.1%,"$5,750,000",$0,$0,"$5,500,000","$5,500,000",-
2016-17,-,"$5,750,000",7.9%,"$5,750,000",$0,$0,"$5,500,000","$5,500,000",-
2017-18,-,"$5,750,000",7.7%,"$5,750,000",$0,$0,"$5,750,000","$5,750,000",-
2018-19,-,"$5,750,000",7.2%,"$5,750,000",$0,$0,"$5,750,000","$5,750,000",-
2019-20,-,"$5,750,000",7.1%,"$5,750,000",$0,$0,"$6,000,000","$6,000,000",-
2020-21,-,"$5,750,000",7.1%,"$5,750,000",$0,$0,"$6,000,000","$6,000,000",-
2011-12,-,"$925,000",1.4%,"$1,525,000",$0,"$92,500",-,-,-
2012-13,-,"$925,000",1.5%,"$1,525,000","$212,500","$92,500","$832,500","$925,000","$70,000"
2013-14,-,"$925,000",1.4%,"$1,525,000","$737,500","$92,500","$832,500","$925,000","$70,000"
2014-15,-,"$925,000",1.3%,"$1,525,000","$850,000",$0,"$925,000","$925,000","$70,000"

