PLAYER CONTRACT SUMMARY
Player Name,Dustin#23 Brown
NHL Player ID,8470606
Official Name,Dustin Brown
Current Team,LAK
Position,R
Number,#23
Export Date,2025-10-17 14:44:30

DATA SUMMARY
Total Contracts,3
Total Contract Details,16

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),LAK,2013-07-18,8,47000000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 18, 2013"
Standard Contract (Extension),LAK,2007-10-26,6,19050000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Oct. 26, 2007"
Standard Contract,LAK,2006-09-17,2,2350000,,"RFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Sep. 17, 2006"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2014-15,M-NTC,"$5,875,000",8.5%,"$5,875,000",$0,"$2,000,000","$5,250,000","$7,250,000",-
2015-16,M-NTC,"$5,875,000",8.2%,"$5,875,000",$0,$0,"$7,250,000","$7,250,000",-
2016-17,M-NTC,"$5,875,000",8.0%,"$5,875,000",$0,$0,"$7,000,000","$7,000,000",-
2017-18,M-NTC,"$5,875,000",7.8%,"$5,875,000",$0,$0,"$6,500,000","$6,500,000",-
2018-19,M-NTC,"$5,875,000",7.4%,"$5,875,000",$0,$0,"$5,500,000","$5,500,000",-
2019-20,M-NTC,"$5,875,000",7.2%,"$5,875,000",$0,$0,"$5,500,000","$5,500,000",-
2020-21,M-NTC,"$5,875,000",7.2%,"$5,875,000",$0,$0,"$4,000,000","$4,000,000",-
2021-22,M-NTC,"$5,875,000",7.2%,"$5,875,000",$0,$0,"$4,000,000","$4,000,000",-
2008-09,-,"$3,175,000",5.6%,"$3,175,000",$0,$0,"$2,600,000","$2,600,000",-
2009-10,-,"$3,175,000",5.6%,"$3,175,000",$0,$0,"$2,450,000","$2,450,000",-
2010-11,-,"$3,175,000",5.3%,"$3,175,000",$0,$0,"$3,500,000","$3,500,000",-
2011-12,-,"$3,175,000",4.9%,"$3,175,000",$0,$0,"$3,500,000","$3,500,000",-
2012-13,-,"$3,175,000",5.3%,"$3,175,000",$0,$0,"$3,500,000","$3,500,000",-
2013-14,-,"$3,175,000",4.9%,"$3,175,000",$0,$0,"$3,500,000","$3,500,000",-
2006-07,-,"$1,175,000",2.7%,"$1,175,000",$0,$0,"$1,175,000","$1,175,000",-
2007-08,-,"$1,175,000",2.3%,"$1,175,000",$0,$0,"$1,175,000","$1,175,000",-

