PLAYER CONTRACT SUMMARY
Player Name,Eric#2 Gryba
NHL Player ID,8473468
Official Name,Eric Gryba
Current Team,EDM
Position,D
Number,#62
Export Date,2025-10-17 15:19:58

DATA SUMMARY
Total Contracts,6
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,NJD,2018-07-01,1,700000,,"UFACap Percent : -%Signing Team: New Jersey DevilsSigning Date: Jul. 1, 2018"
Standard Contract (Extension),EDM,2017-06-27,2,1800000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Jun. 27, 2017"
Standard Contract,EDM,2016-10-11,1,950000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Oct. 11, 2016"
Standard Contract (Extension),OTT,2014-06-26,2,2500000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jun. 26, 2014"
Standard Contract,OTT,2012-07-18,2,1125000,,"RFA (Arb)Cap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jul. 18, 2012"
Entry-Level Contract,OTT,2010-03-29,2,1245000,,"RFA (Arb)Cap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Mar. 29, 2010"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2018-19,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$300,000"
2017-18,-,"$900,000",1.2%,"$900,000",$0,$0,"$900,000","$900,000",-
2018-19,-,"$900,000",1.1%,"$900,000",$0,$0,"$900,000","$900,000",-
2016-17,-,"$950,000",1.3%,"$950,000",$0,$0,"$950,000","$950,000","$250,000"
2014-15,-,"$1,250,000",1.8%,"$1,250,000",$0,$0,"$1,200,000","$1,200,000",-
2015-16,-,"$1,250,000",1.8%,"$1,250,000",$0,$0,"$1,300,000","$1,300,000",-
2012-13,-,"$562,500",0.9%,"$562,500",$0,$0,"$525,000","$525,000","$80,000"
2013-14,-,"$562,500",0.9%,"$562,500",$0,$0,"$600,000","$600,000","$105,000"
2010-11,-,"$572,500",1.0%,"$622,500","$60,000","$60,000","$500,000","$560,000","$62,500"
2011-12,-,"$572,500",0.9%,"$622,500","$40,000","$60,000","$525,000","$585,000","$62,500"

