PLAYER CONTRACT SUMMARY
Player Name,Erik#81 Cernak
NHL Player ID,8478416
Official Name,Erik Cernak
Current Team,TBL
Position,D
Number,#81
Export Date,2025-10-16 16:47:39

DATA SUMMARY
Total Contracts,3
Total Contract Details,16

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),TBL,2022-07-13,8,41600000,,"UFACap Percent : 5.4%Signing Team: Tampa Bay LightningSigning Date: Jul. 13, 2022"
Standard Contract,TBL,2020-12-22,3,8850000,,"RFA (Arb)Cap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Dec. 22, 2020"
Entry-Level Contract,LAK,2015-07-14,3,2775000,,"RFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 14, 2015"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,-,"$5,200,000",6.2%,"$5,200,000",$0,"$5,500,000","$1,260,000","$6,760,000",-
2024-25,NTC,"$5,200,000",5.9%,"$5,200,000",$0,"$4,500,000","$2,260,000","$6,760,000",-
2025-26,NTC,"$5,200,000",5.4%,"$5,200,000",$0,$0,"$6,760,000","$6,760,000",-
2026-27,NTC,"$5,200,000",5.0%,"$5,200,000",$0,$0,"$5,096,000","$5,096,000",-
2027-28,M-NTC,"$5,200,000",4.6%,"$5,200,000",$0,"$1,000,000","$3,056,000","$4,056,000",-
2028-29,M-NTC,"$5,200,000",4.2%,"$5,200,000",$0,"$1,000,000","$3,056,000","$4,056,000",-
2029-30,M-NTC,"$5,200,000",4.0%,"$5,200,000",$0,"$1,000,000","$3,056,000","$4,056,000",-
2030-31,M-NTC,"$5,200,000",3.7%,"$5,200,000",$0,"$1,000,000","$3,056,000","$4,056,000",-
2020-21,-,"$2,950,000",3.6%,"$2,950,000",$0,"$700,000","$775,000","$1,475,000",-
2021-22,-,"$2,950,000",3.6%,"$2,950,000",$0,"$1,000,000","$1,950,000","$2,950,000",-
2022-23,-,"$2,950,000",3.6%,"$2,950,000",$0,$0,"$4,425,000","$4,425,000",-
2015-16,-,"$732,500",1.0%,"$925,000",$0,"$92,500",-,-,-
2016-17,-,"$708,333",1.0%,"$900,833",$0,"$92,500",-,-,-
2017-18,-,"$697,500",0.9%,"$890,000","$227,500","$92,500","$650,000","$742,500","$70,000"
2018-19,-,"$697,500",0.9%,"$890,000","$202,500",$0,"$650,000","$650,000","$70,000"
2019-20,-,"$697,500",0.9%,"$890,000","$147,500",$0,"$700,000","$700,000","$70,000"

