PLAYER CONTRACT SUMMARY
Player Name,Erik#56 Gustafsson
NHL Player ID,8476979
Official Name,Erik Gustafsson
Current Team,CHI
Position,D
Number,#56
Export Date,2025-10-18 14:28:02

DATA SUMMARY
Total Contracts,8
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,DET,2024-07-01,2,4000000,,"UFACap Percent : 2.1%Signing Team: Detroit Red WingsSigning Date: Jul. 1, 2024"
Standard Contract,NYR,2023-07-01,1,825000,,"UFACap Percent : -%Signing Team: New York RangersSigning Date: Jul. 1, 2023"
Standard Contract,WSH,2022-07-13,1,800000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Jul. 13, 2022"
Standard Contract,CHI,2021-10-12,1,800000,,"UFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Oct. 12, 2021"
Standard Contract,PHI,2020-10-12,1,3000000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Oct. 12, 2020"
Standard Contract (Extension),CHI,2018-03-06,2,2400000,,"UFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Mar. 6, 2018"
Standard Contract,CHI,2017-07-14,1,650000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Jul. 14, 2017"
Entry-Level Contract,CHI,2015-05-16,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: May 16, 2015"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$850,000",1.0%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2025-26,-,"$850,000",0.9%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2023-24,-,"$825,000",1.0%,"$825,000",$0,$0,"$825,000","$825,000",-
2022-23,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2021-22,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2020-21,-,"$1,500,000",1.8%,"$3,000,000",$0,"$250,000","$2,750,000","$3,000,000",-
2018-19,-,"$1,200,000",1.5%,"$1,200,000",$0,"$200,000","$800,000","$1,000,000",-
2019-20,-,"$1,200,000",1.5%,"$1,200,000",$0,"$400,000","$1,000,000","$1,400,000",-
2017-18,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000","$200,000"
2015-16,-,"$667,500",0.9%,"$925,000","$257,500","$92,500","$575,000","$667,500","$70,000"
2016-17,-,"$667,500",0.9%,"$925,000","$257,500","$92,500","$575,000","$667,500","$70,000"

