PLAYER CONTRACT SUMMARY
Player Name,Evan#2 Bouchard
NHL Player ID,8480803
Official Name,Evan Bouchard
Current Team,EDM
Position,D
Number,#2
Export Date,2025-10-16 16:32:00

DATA SUMMARY
Total Contracts,3
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),EDM,2025-06-30,4,42000000,,"UFACap Percent : 11.0%Signing Team: Edmonton OilersSigning Date: Jun. 30, 2025"
Standard Contract,EDM,2023-08-24,2,7800000,,"RFA (Arb)Cap Percent : -%Signing Team: Edmonton OilersSigning Date: Aug. 24, 2023"
Entry-Level Contract,EDM,2018-07-17,3,4975000,,"RFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 17, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,NMC,"$10,500,000",11.0%,"$10,500,000",$0,"$11,000,000","$1,000,000","$12,000,000",-
2026-27,NMC,"$10,500,000",10.1%,"$10,500,000",$0,"$11,000,000","$1,000,000","$12,000,000",-
2027-28,NMC,"$10,500,000",9.3%,"$10,500,000",$0,"$8,000,000","$1,000,000","$9,000,000",-
2028-29,NMC,"$10,500,000",8.6%,"$10,500,000",$0,"$8,000,000","$1,000,000","$9,000,000",-
2023-24,-,"$3,900,000",4.7%,"$3,900,000",$0,$0,"$3,500,000","$3,500,000",-
2024-25,-,"$3,900,000",4.4%,"$3,900,000",$0,$0,"$4,300,000","$4,300,000",-
2018-19,-,"$925,000",1.2%,"$1,658,333",$0,"$92,500",-,-,-
2019-20,-,"$894,167",1.1%,"$1,627,500",$0,"$92,500",-,-,-
2020-21,-,"$863,333",1.1%,"$1,596,667","$500,000","$92,500","$832,500","$925,000","$70,000"
2021-22,-,"$863,333",1.1%,"$1,596,667","$850,000",$0,"$832,500","$832,500","$70,000"
2022-23,-,"$863,333",1.0%,"$1,596,667","$850,000",$0,"$832,500","$832,500","$70,000"

