PLAYER CONTRACT SUMMARY
Player Name,Filip#9 Forsberg
NHL Player ID,8476887
Official Name,Filip Forsberg
Current Team,NSH
Position,L
Number,#9
Export Date,2025-10-16 16:37:39

DATA SUMMARY
Total Contracts,3
Total Contract Details,18

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NSH,2022-07-09,8,68000000,,"UFACap Percent : 8.9%Signing Team: Nashville PredatorsSigning Date: Jul. 9, 2022"
Standard Contract (Extension),NSH,2016-06-27,6,36000000,,"UFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jun. 27, 2016"
Entry-Level Contract,WSH,2012-07-16,3,4475000,,"RFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Jul. 16, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,NMC,"$8,500,000",10.3%,"$8,500,000",$0,$0,"$10,000,000","$10,000,000",-
2023-24,NMC,"$8,500,000",10.2%,"$8,500,000",$0,$0,"$10,000,000","$10,000,000",-
2024-25,NMC,"$8,500,000",9.7%,"$8,500,000",$0,$0,"$10,000,000","$10,000,000",-
2025-26,NMC,"$8,500,000",8.9%,"$8,500,000",$0,$0,"$10,000,000","$10,000,000",-
2026-27,NMC,"$8,500,000",8.2%,"$8,500,000",$0,"$3,000,000","$4,500,000","$7,500,000",-
2027-28,NMC,"$8,500,000",7.5%,"$8,500,000",$0,"$3,000,000","$4,000,000","$7,000,000",-
2028-29,"M-NTC, NMC","$8,500,000",6.9%,"$8,500,000",$0,"$3,000,000","$4,000,000","$7,000,000",-
2029-30,"M-NTC, NMC","$8,500,000",6.5%,"$8,500,000",$0,"$3,000,000","$3,500,000","$6,500,000",-
2016-17,-,"$6,000,000",8.2%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2017-18,-,"$6,000,000",8.0%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2018-19,-,"$6,000,000",7.5%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2019-20,-,"$6,000,000",7.4%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2020-21,-,"$6,000,000",7.4%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2021-22,-,"$6,000,000",7.4%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2012-13,-,"$925,000",1.5%,"$1,491,667",$0,"$92,500",-,-,-
2013-14,-,"$894,167",1.4%,"$1,460,833","$300,000","$92,500","$832,500","$925,000","$70,000"
2014-15,-,"$894,167",1.3%,"$1,460,833","$700,000","$92,500","$832,500","$925,000","$70,000"
2015-16,-,"$894,167",1.3%,"$1,460,833","$700,000",$0,"$832,500","$832,500","$70,000"

