PLAYER CONTRACT SUMMARY
Player Name,Gabriel#13 Vilardi
NHL Player ID,8480014
Official Name,Gabriel Vilardi
Current Team,WPG
Position,C
Number,#13
Export Date,2025-10-16 16:53:22

DATA SUMMARY
Total Contracts,4
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension)(Unconfirmed),WPG,2025-07-18,6,45000000,,"UFACap Percent : 7.9%Signing Team: Winnipeg JetsSigning Date: Jul. 18, 2025"
Two-Way Contract,WPG,2023-07-19,2,6875000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 19, 2023"
Standard Contract,LAK,2022-07-23,1,825000,,"RFA (Arb)Cap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 23, 2022"
Entry-Level Contract,LAK,2018-03-01,3,4975000,,"RFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Mar. 1, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$7,500,000",7.9%,"$7,500,000",$0,"$3,500,000","$3,500,000","$7,000,000",-
2026-27,-,"$7,500,000",7.2%,"$7,500,000",$0,$0,"$7,600,000","$7,600,000",-
2027-28,-,"$7,500,000",6.6%,"$7,500,000",$0,$0,"$7,600,000","$7,600,000",-
2028-29,-,"$7,500,000",6.1%,"$7,500,000",$0,$0,"$7,600,000","$7,600,000",-
2029-30,-,"$7,500,000",5.7%,"$7,500,000",$0,$0,"$7,600,000","$7,600,000",-
2030-31,-,"$7,500,000",5.4%,"$7,500,000",$0,$0,"$7,600,000","$7,600,000",-
2023-24,-,"$3,437,500",4.1%,"$3,437,500",$0,$0,"$3,275,000","$3,275,000",-
2024-25,-,"$3,437,500",3.9%,"$3,437,500",$0,$0,"$3,600,000","$3,600,000",-
2022-23,-,"$825,000",1.0%,"$825,000",$0,$0,"$825,000","$825,000",-
2018-19,-,"$925,000",1.2%,"$1,658,333",$0,"$92,500",-,-,-
2019-20,-,"$894,167",1.1%,"$1,627,500","$500,000","$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$894,167",1.1%,"$1,627,500","$850,000","$92,500","$832,500","$925,000","$70,000"
2021-22,-,"$894,167",1.1%,"$1,627,500","$850,000",$0,"$832,500","$832,500","$70,000"

