PLAYER CONTRACT SUMMARY
Player Name,Igor#31 Shesterkin
NHL Player ID,8478048
Official Name,Igor Shesterkin
Current Team,NYR
Position,G
Number,#31
Export Date,2025-10-16 16:40:36

DATA SUMMARY
Total Contracts,3
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NYR,2024-12-06,8,92000000,,"UFACap Percent : 12.0%Signing Team: New York RangersSigning Date: Dec. 06, 2024"
Standard Contract,NYR,2021-08-09,4,22666667,,"UFACap Percent : -%Signing Team: New York RangersSigning Date: Aug. 9, 2021"
Entry-Level Contract,NYR,2019-05-03,2,7550000,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: May 3, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,NMC,"$11,500,000",12.0%,"$11,500,000",$0,"$15,050,000","$775,000","$15,825,000",-
2026-27,NMC,"$11,500,000",11.1%,"$11,500,000",$0,"$15,000,000","$825,000","$15,825,000",-
2027-28,NMC,"$11,500,000",10.1%,"$11,500,000",$0,"$11,850,000","$900,000","$12,750,000",-
2028-29,NMC,"$11,500,000",9.4%,"$11,500,000",$0,"$8,700,000","$900,000","$9,600,000",-
2029-30,NMC,"$11,500,000",8.8%,"$11,500,000",$0,"$8,600,000","$900,000","$9,500,000",-
2030-31,NMC,"$11,500,000",8.3%,"$11,500,000",$0,"$8,600,000","$900,000","$11,500,000",-
2031-32,NMC,"$11,500,000",7.8%,"$11,500,000",$0,"$8,600,000","$900,000","$11,500,000",-
2032-33,NMC,"$11,500,000",7.5%,"$11,500,000",$0,"$8,600,000","$900,000","$11,500,000",-
2021-22,-,"$5,666,667",7.0%,"$5,666,667",$0,"$1,000,000","$2,000,000","$3,000,000",-
2022-23,-,"$5,666,667",6.9%,"$5,666,667",$0,$0,"$6,000,000","$6,000,000",-
2023-24,M-NTC,"$5,666,667",6.8%,"$5,666,667",$0,"$2,000,000","$5,000,000","$7,000,000",-
2024-25,M-NTC,"$5,666,667",6.4%,"$5,666,667",$0,$0,"$6,666,667","$6,666,667",-
2019-20,-,"$925,000",1.1%,"$3,775,000","$2,850,000","$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$925,000",1.1%,"$3,775,000","$2,850,000","$92,500","$832,500","$925,000","$70,000"

