PLAYER CONTRACT SUMMARY
Player Name,Jack#3 Johnson
NHL Player ID,8471677
Official Name,Jack Johnson
Current Team,CBJ
Position,D
Number,#7
Export Date,2025-10-17 12:35:34

DATA SUMMARY
Total Contracts,9
Total Contract Details,25

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
35+ Contract,CBJ,2024-07-03,1,775000,,"UFACap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jul. 3, 2024"
35+ Contract,COL,2023-07-02,1,775000,,"UFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 2, 2023"
35+ Contract,CHI,2022-08-17,1,950000,,"UFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Aug. 17, 2022"
Standard Contract,COL,2021-10-10,1,750000,,"UFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Oct. 10, 2021"
Standard Contract,NYR,2020-10-09,1,1150000,,"UFACap Percent : -%Signing Team: New York RangersSigning Date: Oct. 9, 2020"
Standard Contract,PIT,2018-07-01,5,16250000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 1, 2018"
Standard Contract (Extension),LAK,2010-01-09,7,30500000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jan. 9, 2010"
Standard Contract,LAK,2009-07-17,2,2850000,,"RFA (Arb)Cap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 17, 2009"
Entry-Level Contract,LAK,2007-03-27,3,6450000,,"RFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Mar. 27, 2007"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000",-
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000",-
2022-23,-,"$950,000",1.2%,"$950,000",$0,$0,"$950,000","$950,000",-
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2020-21,-,"$1,150,000",1.4%,"$1,150,000",$0,$0,"$1,150,000","$1,150,000",-
2018-19,-,"$3,250,000",4.1%,"$3,250,000",$0,"$2,250,000","$1,750,000","$4,000,000",-
2019-20,-,"$3,250,000",4.0%,"$3,250,000",$0,$0,"$4,000,000","$4,000,000",-
2020-21,-,"$3,250,000",4.0%,"$3,250,000",$0,$0,"$3,000,000","$3,000,000",-
2021-22,-,"$3,250,000",4.0%,"$3,250,000",$0,$0,"$3,000,000","$3,000,000",-
2022-23,-,"$3,250,000",3.9%,"$3,250,000",$0,$0,"$2,250,000","$2,250,000",-
2023-24,-,-,-,-,$0,$0,-,-,-
2024-25,-,-,-,-,$0,$0,-,-,-
2025-26,-,-,-,-,$0,$0,-,-,-
2011-12,-,"$4,357,143",6.8%,"$4,357,143",$0,"$1,000,000","$2,500,000","$3,500,000",-
2012-13,-,"$4,357,143",7.3%,"$4,357,143",$0,$0,"$3,500,000","$3,500,000",-
2013-14,-,"$4,357,143",6.8%,"$4,357,143",$0,$0,"$3,500,000","$3,500,000",-
2014-15,-,"$4,357,143",6.3%,"$4,357,143",$0,$0,"$5,000,000","$5,000,000",-
2015-16,-,"$4,357,143",6.1%,"$4,357,143",$0,$0,"$5,000,000","$5,000,000",-
2016-17,-,"$4,357,143",6.0%,"$4,357,143",$0,$0,"$5,000,000","$5,000,000",-
2017-18,-,"$4,357,143",5.8%,"$4,357,143",$0,$0,"$5,000,000","$5,000,000",-
2009-10,-,"$1,425,000",2.5%,"$1,425,000",$0,"$200,000","$1,000,000","$1,200,000",-
2010-11,-,"$1,425,000",2.4%,"$1,425,000",$0,$0,"$1,650,000","$1,650,000",-
2006-07,-,"$850,000",1.9%,"$2,150,000",$0,"$85,000","$765,000","$850,000","$62,500"
2007-08,-,"$850,000",1.7%,"$2,150,000","$1,950,000","$85,000","$765,000","$850,000","$62,500"
2008-09,-,"$850,000",1.5%,"$2,150,000","$1,950,000","$85,000","$765,000","$850,000","$62,500"

