PLAYER CONTRACT SUMMARY
Player Name,Jake#34 Allen
NHL Player ID,8474596
Official Name,Jake Allen
Current Team,NJD
Position,G
Number,#34
Export Date,2025-10-16 16:37:29

DATA SUMMARY
Total Contracts,7
Total Contract Details,22

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NJD,2025-07-01,5,9000000,,"UFACap Percent : 1.9%Signing Team: New Jersey DevilsSigning Date: Jul. 01, 2025"
Standard Contract (Extension),MTL,2022-10-01,2,7700000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Oct. 1, 2022"
Standard Contract (Extension),MTL,2020-10-14,2,5750000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Oct. 14, 2020"
Standard Contract (Extension),STL,2016-07-01,4,17400000,,"UFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 1, 2016"
Standard Contract,STL,2015-07-03,2,4700000,,"RFA (Arb)Cap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 3, 2015"
Standard Contract,STL,2013-07-25,2,1600000,,"RFA (Arb)Cap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 25, 2013"
Entry-Level Contract,STL,2008-10-22,3,2625000,,"RFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Oct. 22, 2008"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,NTC,"$1,800,000",1.9%,"$1,800,000",$0,"$1,250,000","$1,000,000","$2,250,000",-
2026-27,NTC,"$1,800,000",1.7%,"$1,800,000",$0,"$1,250,000","$1,000,000","$2,250,000",-
2027-28,M-NTC,"$1,800,000",1.6%,"$1,800,000",$0,"$500,000","$1,300,000","$1,800,000",-
2028-29,M-NTC,"$1,800,000",1.5%,"$1,800,000",$0,$0,"$1,350,000","$1,350,000",-
2029-30,M-NTC,"$1,800,000",1.4%,"$1,800,000",$0,$0,"$1,350,000","$1,350,000",-
2023-24,M-NTC,"$1,925,000",2.3%,"$3,850,000",$0,"$500,000","$3,900,000","$4,400,000",-
2024-25,M-NTC,"$1,925,000",2.2%,"$3,850,000",$0,"$1,000,000","$2,300,000","$3,300,000",-
2021-22,-,"$2,875,000",3.5%,"$2,875,000",$0,$0,"$2,000,000","$2,000,000",-
2022-23,-,"$2,875,000",3.5%,"$2,875,000",$0,$0,"$3,750,000","$3,750,000",-
2017-18,-,"$4,350,000",5.8%,"$4,350,000",$0,$0,"$3,850,000","$3,850,000",-
2018-19,-,"$4,350,000",5.5%,"$4,350,000",$0,$0,"$4,350,000","$4,350,000",-
2019-20,-,"$4,350,000",5.3%,"$4,350,000",$0,$0,"$5,200,000","$5,200,000",-
2020-21,-,"$4,350,000",5.3%,"$4,350,000",$0,$0,"$4,000,000","$4,000,000",-
2015-16,-,"$2,350,000",3.3%,"$2,350,000",$0,$0,"$2,200,000","$2,200,000",-
2016-17,-,"$2,350,000",3.2%,"$2,350,000",$0,$0,"$2,500,000","$2,500,000",-
2013-14,-,"$800,000",1.2%,"$800,000",$0,$0,"$750,000","$750,000","$125,000"
2014-15,-,"$800,000",1.2%,"$800,000",$0,$0,"$850,000","$850,000","$850,000"
2008-09,-,"$875,000",1.5%,"$875,000",$0,"$87,500",-,-,-
2009-10,-,"$845,833",1.5%,"$845,833",$0,"$87,500",-,-,-
2010-11,-,"$816,667",1.4%,"$816,667",$0,"$87,500","$787,500","$875,000","$65,000"
2011-12,-,"$816,667",1.3%,"$816,667",$0,$0,"$787,500","$787,500","$65,000"
2012-13,-,"$816,667",1.4%,"$816,667",$0,$0,"$787,500","$787,500","$65,000"

