PLAYER CONTRACT SUMMARY
Player Name,Johnathan#8 Kovacevic
NHL Player ID,8480192
Official Name,Johnathan Kovacevic
Current Team,WPG
Position,D
Number,#65
Export Date,2025-10-17 12:34:51

DATA SUMMARY
Total Contracts,4
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),NJD,2025-03-07,5,20000000,,"UFACap Percent : 4.2%Signing Team: New Jersey DevilsSigning Date: Mar. 07, 2025"
Standard Contract,WPG,2022-07-22,3,2300000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 22, 2022"
Standard Contract,WPG,2021-08-12,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Aug. 12, 2021"
Entry-Level Contract,WPG,2019-03-15,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Mar. 15, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,NTC,"$4,000,000",4.2%,"$4,000,000",$0,"$3,000,000","$2,250,000","$5,250,000",-
2026-27,NTC,"$4,000,000",3.8%,"$4,000,000",$0,"$3,000,000","$1,750,000","$4,750,000",-
2027-28,M-NTC,"$4,000,000",3.5%,"$4,000,000",$0,"$2,000,000","$1,700,000","$3,700,000",-
2028-29,M-NTC,"$4,000,000",3.3%,"$4,000,000",$0,"$1,000,000","$2,150,000","$3,150,000",-
2029-30,M-NTC,"$4,000,000",3.0%,"$4,000,000",$0,$0,"$3,150,000","$3,150,000",-
2022-23,-,"$766,667",0.9%,"$766,667",$0,$0,"$750,000","$750,000","$150,000"
2023-24,-,"$766,667",0.9%,"$766,667",$0,$0,"$775,000","$775,000","$250,000"
2024-25,-,"$766,667",0.9%,"$766,667",$0,$0,"$775,000","$775,000","$775,000"
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$90,000"
2019-20,-,"$792,500",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"
2020-21,-,"$792,500",1.0%,"$925,000","$132,500","$92,500","$700,000","$792,500","$70,000"

