PLAYER CONTRACT SUMMARY
Player Name,Jonathan#19 Toews
NHL Player ID,8473604
Official Name,Jonathan Toews
Current Team,WPG
Position,C
Number,#19
Export Date,2025-10-16 16:53:19

DATA SUMMARY
Total Contracts,4
Total Contract Details,17

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
35+ Contract,WPG,2025-07-01,1,7000000,,"UFACap Percent : 2.1%Signing Team: Winnipeg JetsSigning Date: Jul. 1, 2025"
Standard Contract (Extension),CHI,2014-07-09,8,84000000,,"UFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Jul. 9, 2014"
Standard Contract (Extension),CHI,2009-12-02,5,31500000,,"UFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Dec. 2, 2009"
Entry-Level Contract,CHI,2007-05-18,3,8400000,,"RFACap Percent : -%Signing Team: Chicago BlackhawksSigning Date: May 18, 2007"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$2,000,000",2.1%,"$7,000,000","$5,000,000",$0,"$2,000,000","$2,000,000",-
2015-16,NMC,"$10,500,000",14.7%,"$10,500,000",$0,"$7,000,000","$6,800,000","$13,800,000",-
2016-17,NMC,"$10,500,000",14.4%,"$10,500,000",$0,"$6,000,000","$7,800,000","$13,800,000",-
2017-18,NMC,"$10,500,000",14.0%,"$10,500,000",$0,"$6,000,000","$7,800,000","$13,800,000",-
2018-19,NMC,"$10,500,000",13.2%,"$10,500,000",$0,"$6,000,000","$6,000,000","$12,000,000",-
2019-20,NMC,"$10,500,000",12.9%,"$10,500,000",$0,"$6,000,000","$3,800,000","$9,800,000",-
2020-21,NMC,"$10,500,000",12.9%,"$10,500,000",$0,"$5,000,000","$2,000,000","$7,000,000",-
2021-22,NMC,"$10,500,000",12.9%,"$10,500,000",$0,"$4,000,000","$2,900,000","$6,900,000",-
2022-23,NMC,"$10,500,000",12.7%,"$10,500,000",$0,"$4,000,000","$2,900,000","$6,900,000",-
2010-11,-,"$6,300,000",10.6%,"$6,300,000",$0,"$1,500,000","$5,000,000","$6,500,000",-
2011-12,-,"$6,300,000",9.8%,"$6,300,000",$0,$0,"$6,000,000","$6,000,000",-
2012-13,-,"$6,300,000",10.5%,"$6,300,000",$0,$0,"$6,000,000","$6,000,000",-
2013-14,-,"$6,300,000",9.8%,"$6,300,000",$0,$0,"$6,500,000","$6,500,000",-
2014-15,NMC,"$6,300,000",9.1%,"$6,300,000",$0,$0,"$6,500,000","$6,500,000",-
2007-08,-,"$850,000",1.7%,"$2,800,000","$1,750,000",$0,"$850,000","$850,000","$50,000"
2008-09,-,"$850,000",1.5%,"$2,800,000","$1,950,000",$0,"$850,000","$850,000","$50,000"
2009-10,-,"$850,000",1.5%,"$2,800,000","$2,150,000",$0,"$850,000","$850,000","$50,000"

