PLAYER CONTRACT SUMMARY
Player Name,Joseph#56 Cramarossa
NHL Player ID,8476390
Official Name,Joseph Cramarossa
Current Team,ANA
Position,L
Number,#74
Export Date,2025-10-17 15:38:41

DATA SUMMARY
Total Contracts,6
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),MIN,2021-07-17,2,1500000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Jul. 17, 2021"
Standard Contract,MIN,2020-10-09,1,700000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Oct. 9, 2020"
Standard Contract (Extension),PIT,2019-04-25,1,700000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Apr. 25, 2019"
Standard Contract,PIT,2019-02-21,1,650000,,"RFA (Arb)Cap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Feb. 21, 2019"
Standard Contract (Extension),ANA,2016-06-15,1,724500,,"UFA (No QO)Cap Percent : -%Signing Team: Anaheim DucksSigning Date: Jun. 15, 2016"
Entry-Level Contract,ANA,2013-03-02,3,2775000,,"RFACap Percent : -%Signing Team: Anaheim DucksSigning Date: Mar. 2, 2013"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$170,000"
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$182,500"
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$160,000"
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$125,000"
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000","$200,000"
2016-17,-,"$724,500",1.0%,"$724,500",$0,$0,"$724,500","$724,500","$70,000"
2013-14,-,"$752,500",1.2%,"$925,000","$212,500","$92,500","$620,000","$712,500","$70,000"
2014-15,-,"$752,500",1.1%,"$925,000","$162,500","$92,500","$670,000","$762,500","$70,000"
2015-16,-,"$752,500",1.1%,"$925,000","$142,500","$92,500","$690,000","$782,500","$70,000"

