PLAYER CONTRACT SUMMARY
Player Name,Josh#44 Morrissey
NHL Player ID,8477504
Official Name,Josh Morrissey
Current Team,WPG
Position,D
Number,#44
Export Date,2025-10-16 16:53:33

DATA SUMMARY
Total Contracts,3
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),WPG,2019-09-12,8,50000000,,"UFACap Percent : 6.5%Signing Team: Winnipeg JetsSigning Date: Sep. 12, 2019"
Standard Contract,WPG,2018-09-16,2,6300000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Sep. 16, 2018"
Entry-Level Contract,WPG,2013-10-09,3,4275000,,"RFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Oct. 9, 2013"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2020-21,-,"$6,250,000",7.7%,"$6,250,000",$0,$0,"$8,000,000","$8,000,000",-
2021-22,-,"$6,250,000",7.7%,"$6,250,000",$0,$0,"$8,000,000","$8,000,000",-
2022-23,NMC,"$6,250,000",7.6%,"$6,250,000",$0,$0,"$5,200,000","$5,200,000",-
2023-24,NMC,"$6,250,000",7.5%,"$6,250,000",$0,$0,"$8,000,000","$8,000,000",-
2024-25,NMC,"$6,250,000",7.1%,"$6,250,000",$0,$0,"$6,400,000","$6,400,000",-
2025-26,M-NTC,"$6,250,000",6.5%,"$6,250,000",$0,$0,"$4,800,000","$4,800,000",-
2026-27,M-NTC,"$6,250,000",6.0%,"$6,250,000",$0,$0,"$4,800,000","$4,800,000",-
2027-28,M-NTC,"$6,250,000",5.5%,"$6,250,000",$0,$0,"$4,800,000","$4,800,000",-
2018-19,-,"$3,150,000",4.0%,"$3,150,000",$0,$0,"$3,150,000","$3,150,000",-
2019-20,-,"$3,150,000",3.9%,"$3,150,000",$0,$0,"$3,150,000","$3,150,000",-
2013-14,-,"$925,000",1.4%,"$1,425,000",$0,"$92,500",-,-,-
2014-15,-,"$894,167",1.3%,"$1,394,167",$0,"$92,500",-,-,-
2015-16,-,"$863,333",1.2%,"$1,363,333","$500,000","$92,500","$832,500","$925,000","$70,000"
2016-17,-,"$863,333",1.2%,"$1,363,333","$500,000",$0,"$832,500","$832,500","$70,000"
2017-18,-,"$863,333",1.2%,"$1,363,333","$500,000",$0,"$832,500","$832,500","$70,000"

