PLAYER CONTRACT SUMMARY
Player Name,Josh#9 Norris
NHL Player ID,8480064
Official Name,Josh Norris
Current Team,BUF
Position,C
Number,#9
Export Date,2025-10-16 16:24:01

DATA SUMMARY
Total Contracts,2
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,OTT,2022-07-14,8,63600000,,"UFACap Percent : 8.3%Signing Team: Ottawa SenatorsSigning Date: Jul. 14, 2022"
Entry-Level Contract,OTT,2019-05-27,3,4900000,,"RFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: May 27, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,-,"$7,950,000",9.6%,"$7,950,000",$0,$0,"$5,000,000","$5,000,000",-
2023-24,-,"$7,950,000",9.5%,"$7,950,000",$0,$0,"$6,500,000","$6,500,000",-
2024-25,-,"$7,950,000",9.0%,"$7,950,000",$0,$0,"$9,500,000","$9,500,000",-
2025-26,-,"$7,950,000",8.3%,"$7,950,000",$0,$0,"$9,500,000","$9,500,000",-
2026-27,M-NTC,"$7,950,000",7.6%,"$7,950,000",$0,$0,"$9,500,000","$9,500,000",-
2027-28,M-NTC,"$7,950,000",7.0%,"$7,950,000",$0,$0,"$8,750,000","$8,750,000",-
2028-29,M-NTC,"$7,950,000",6.5%,"$7,950,000",$0,$0,"$7,850,000","$7,850,000",-
2029-30,M-NTC,"$7,950,000",6.1%,"$7,950,000",$0,$0,"$7,000,000","$7,000,000",-
2019-20,-,"$925,000",1.1%,"$1,633,333","$425,000","$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$925,000",1.1%,"$1,633,333","$850,000","$92,500","$832,500","$925,000","$70,000"
2021-22,-,"$925,000",1.1%,"$1,633,333","$850,000","$92,500","$832,500","$925,000","$70,000"

