PLAYER CONTRACT SUMMARY
Player Name,Juraj#20 Slafkovsky
NHL Player ID,8483515
Official Name,Juraj Slafkovský
Current Team,MTL
Position,L
Number,#20
Export Date,2025-10-17 12:34:18

DATA SUMMARY
Total Contracts,2
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),MTL,2024-07-01,8,60800000,,"UFACap Percent : 8.0%Signing Team: Montréal CanadiensSigning Date: Jul. 1, 2024"
Entry-Level Contract,MTL,2022-07-13,3,13350000,,"RFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jul. 13, 2022"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$7,600,000",8.0%,"$7,600,000",$0,"$7,000,000","$3,000,000","$10,000,000",-
2026-27,-,"$7,600,000",7.3%,"$7,600,000",$0,"$3,000,000","$7,000,000","$10,000,000",-
2027-28,-,"$7,600,000",6.7%,"$7,600,000",$0,$0,"$9,000,000","$9,000,000",-
2028-29,-,"$7,600,000",6.2%,"$7,600,000",$0,$0,"$7,800,000","$7,800,000",-
2029-30,-,"$7,600,000",5.8%,"$7,600,000",$0,$0,"$6,000,000","$6,000,000",-
2030-31,M-NTC,"$7,600,000",5.5%,"$7,600,000",$0,$0,"$6,000,000","$6,000,000",-
2031-32,M-NTC,"$7,600,000",5.2%,"$7,600,000",$0,$0,"$6,000,000","$6,000,000",-
2032-33,M-NTC,"$7,600,000",4.9%,"$7,600,000",$0,$0,"$6,000,000","$6,000,000",-
2022-23,-,"$950,000",1.2%,"$4,450,000","$3,500,000","$95,000","$855,000","$950,000","$82,500"
2023-24,-,"$950,000",1.1%,"$4,450,000","$3,500,000","$95,000","$855,000","$950,000","$82,500"
2024-25,-,"$950,000",1.1%,"$4,450,000","$3,500,000","$95,000","$855,000","$950,000","$82,500"

