PLAYER CONTRACT SUMMARY
Player Name,Lane#48 Hutson
NHL Player ID,8483457
Official Name,Lane Hutson
Current Team,MTL
Position,D
Number,#48
Export Date,2025-10-16 16:36:11

DATA SUMMARY
Total Contracts,2
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),MTL,2025-10-13,8,70800000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Oct. 13, 2025"
Entry-Level Contract,MTL,2024-04-12,3,4450000,,"RFACap Percent : 1.0%Signing Team: Montreal CanadiensSigning Date: Apr. 12, 2024"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2026-27,M-NTC,"$8,850,000",8.5%,"$8,850,000",$0,"$11,000,000","$1,000,000","$12,000,000",-
2027-28,M-NTC,"$8,850,000",7.8%,"$8,850,000",$0,"$11,000,000","$1,000,000","$12,000,000",-
2028-29,M-NTC,"$8,850,000",7.2%,"$8,850,000",$0,"$9,500,000","$1,000,000","$10,500,000",-
2029-30,M-NTC,"$8,850,000",6.7%,"$8,850,000",$0,"$6,500,000","$1,000,000","$7,500,000",-
2030-31,M-NTC,"$8,850,000",6.4%,"$8,850,000",$0,"$6,000,000","$1,200,000","$7,200,000",-
2031-32,M-NTC,"$8,850,000",6.0%,"$8,850,000",$0,"$6,000,000","$1,200,000","$7,200,000",-
2032-33,M-NTC,"$8,850,000",5.7%,"$8,850,000",$0,"$5,000,000","$2,200,000","$7,200,000",-
2033-34,M-NTC,"$8,850,000",5.5%,"$8,850,000",$0,$0,"$7,200,000","$7,200,000",-
2023-24,-,"$950,000",1.1%,"$1,333,333",$0,"$95,000","$855,000","$950,000","$82,500"
2024-25,-,"$950,000",1.1%,"$1,333,333","$750,000","$95,000","$855,000","$950,000","$82,500"
2025-26,-,"$950,000",1.0%,"$1,333,333","$850,000","$95,000","$855,000","$950,000","$82,500"

