PLAYER CONTRACT SUMMARY
Player Name,Logan#22 Stankoven
NHL Player ID,8482702
Official Name,Logan Stankoven
Current Team,CAR
Position,C
Number,#22
Export Date,2025-10-16 16:25:07

DATA SUMMARY
Total Contracts,2
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),CAR,2025-07-01,8,48000000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 01, 2025"
Entry-Level Contract,DAL,2021-09-28,3,2825000,,"RFACap Percent : 0.9%Signing Team: Dallas StarsSigning Date: Sep. 28, 2021"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2026-27,M-NTC,"$6,000,000",5.8%,"$6,000,000",$0,"$2,500,000","$3,500,000","$6,000,000",-
2027-28,M-NTC,"$6,000,000",5.3%,"$6,000,000",$0,$0,"$6,000,000","$6,000,000",-
2028-29,M-NTC,"$6,000,000",4.9%,"$6,000,000",$0,$0,"$5,500,000","$5,500,000",-
2029-30,M-NTC,"$6,000,000",4.6%,"$6,000,000",$0,$0,"$5,500,000","$5,500,000",-
2030-31,M-NTC,"$6,000,000",4.3%,"$6,000,000",$0,$0,"$5,000,000","$5,000,000",-
2031-32,M-NTC,"$6,000,000",4.1%,"$6,000,000",$0,$0,"$6,500,000","$6,500,000",-
2032-33,M-NTC,"$6,000,000",3.9%,"$6,000,000",$0,$0,"$6,750,000","$6,750,000",-
2033-34,M-NTC,"$6,000,000",3.7%,"$6,000,000",$0,$0,"$6,750,000","$6,750,000",-
2021-22,-,"$859,167",1.1%,"$925,000",$0,"$92,500",-,-,-
2022-23,-,"$836,667",1.0%,"$902,500",$0,"$92,500",-,-,-
2023-24,-,"$814,167",1.0%,"$880,000","$82,500","$92,500","$775,000","$867,500","$80,000"
2024-25,-,"$814,167",0.9%,"$880,000","$82,500",$0,"$775,000","$775,000","$80,000"
2025-26,-,"$814,167",0.9%,"$880,000","$32,500",$0,"$800,000","$800,000","$80,000"

