PLAYER CONTRACT SUMMARY
Player Name,Magnus#56 Paajarvi
NHL Player ID,8475175
Official Name,Magnus Paajarvi
Current Team,STL
Position,L
Number,#56
Export Date,2025-10-17 15:17:51

DATA SUMMARY
Total Contracts,6
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),OTT,2018-05-30,1,900000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: May 30, 2018"
Standard Contract (Extension),STL,2017-06-29,1,800000,,"UFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jun. 29, 2017"
Standard Contract,STL,2016-07-05,1,700000,,"RFA (Arb)Cap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 5, 2016"
Standard Contract,STL,2015-07-08,1,700000,,"RFA (Arb)Cap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 8, 2015"
Standard Contract,STL,2013-08-02,2,2400000,,"RFA (Arb)Cap Percent : -%Signing Team: St. Louis BluesSigning Date: Aug. 2, 2013"
Entry-Level Contract,EDM,2010-06-01,3,4575000,,"RFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Jun. 1, 2010"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2018-19,-,"$900,000",1.1%,"$900,000",$0,$0,"$900,000","$900,000",-
2017-18,-,"$800,000",1.1%,"$800,000",$0,$0,"$800,000","$800,000",-
2016-17,-,"$700,000",1.0%,"$700,000",$0,$0,"$700,000","$700,000",-
2015-16,-,"$700,000",1.0%,"$700,000",$0,$0,"$700,000","$700,000",-
2013-14,-,"$1,200,000",1.9%,"$1,200,000",$0,$0,"$1,000,000","$1,000,000",-
2014-15,-,"$1,200,000",1.7%,"$1,200,000",$0,$0,"$1,400,000","$1,400,000",-
2010-11,-,"$900,000",1.5%,"$1,525,000","$625,000","$90,000","$810,000","$900,000","$67,500"
2011-12,-,"$900,000",1.4%,"$1,525,000","$625,000","$90,000","$810,000","$900,000","$67,500"
2012-13,-,"$900,000",1.5%,"$1,525,000","$625,000","$90,000","$810,000","$900,000","$67,500"

