PLAYER CONTRACT SUMMARY
Player Name,Mark#43 Pysyk
NHL Player ID,8475796
Official Name,Mark Pysyk
Current Team,BUF
Position,D
Number,#13
Export Date,2025-10-17 14:42:02

DATA SUMMARY
Total Contracts,7
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,CGY,2023-12-02,1,775000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Dec. 2, 2023"
Standard Contract,DET,2022-07-14,1,850000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 14, 2022"
Standard Contract,BUF,2021-07-28,1,900000,,"UFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 28, 2021"
Standard Contract,DAL,2020-10-10,1,750000,,"UFACap Percent : -%Signing Team: Dallas StarsSigning Date: Oct. 10, 2020"
Standard Contract,FLA,2017-07-06,3,8200000,,"UFACap Percent : -%Signing Team: Florida PanthersSigning Date: Jul. 6, 2017"
Standard Contract,BUF,2015-07-14,2,2250000,,"RFA (Arb)Cap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 14, 2015"
Entry-Level Contract,BUF,2011-06-02,3,2700000,,"RFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jun. 2, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$350,000"
2022-23,-,"$850,000",1.0%,"$850,000",$0,$0,"$850,000","$850,000",-
2021-22,-,"$900,000",1.1%,"$900,000",$0,$0,"$900,000","$900,000",-
2020-21,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2017-18,-,"$2,733,333",3.6%,"$2,733,333",$0,$0,"$1,950,000","$1,950,000",-
2018-19,-,"$2,733,333",3.4%,"$2,733,333",$0,$0,"$2,750,000","$2,750,000",-
2019-20,-,"$2,733,333",3.4%,"$2,733,333",$0,$0,"$3,500,000","$3,500,000",-
2015-16,-,"$1,125,000",1.6%,"$1,125,000",$0,$0,"$1,000,000","$1,000,000",-
2016-17,-,"$1,125,000",1.5%,"$1,125,000",$0,$0,"$1,250,000","$1,250,000",-
2011-12,-,"$900,000",1.4%,"$900,000",$0,"$90,000",-,-,-
2012-13,-,"$900,000",1.5%,"$900,000",$0,"$90,000","$810,000","$900,000","$67,500"
2013-14,-,"$900,000",1.4%,"$900,000",$0,"$90,000","$810,000","$900,000","$67,500"
2014-15,-,"$900,000",1.3%,"$900,000",$0,$0,"$900,000","$900,000","$67,500"

