PLAYER CONTRACT SUMMARY
Player Name,Mason#22 Appleton
NHL Player ID,8478891
Official Name,Mason Appleton
Current Team,DET
Position,C
Number,#22
Export Date,2025-10-16 16:30:25

DATA SUMMARY
Total Contracts,4
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,DET,2025-07-02,2,5800000,,"UFACap Percent : 3.0%Signing Team: Detroit Red WingsSigning Date: Jul. 02, 2025"
Standard Contract,WPG,2022-08-07,3,6500000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Aug. 7, 2022"
Standard Contract,WPG,2020-10-09,2,1800000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Oct. 9, 2020"
Entry-Level Contract,WPG,2017-07-13,3,2275000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 13, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$2,900,000",3.0%,"$2,900,000",$0,$0,"$3,000,000","$3,000,000",-
2026-27,-,"$2,900,000",2.8%,"$2,900,000",$0,$0,"$2,800,000","$2,800,000",-
2022-23,-,"$2,166,667",2.6%,"$2,166,667",$0,$0,"$2,000,000","$2,000,000",-
2023-24,-,"$2,166,667",2.6%,"$2,166,667",$0,$0,"$2,250,000","$2,250,000",-
2024-25,-,"$2,166,667",2.5%,"$2,166,667",$0,$0,"$2,250,000","$2,250,000",-
2020-21,-,"$900,000",1.1%,"$900,000",$0,$0,"$900,000","$900,000",-
2021-22,-,"$900,000",1.1%,"$900,000",$0,$0,"$900,000","$900,000",-
2017-18,-,"$741,667",1.0%,"$758,333","$25,000","$75,000","$650,000","$725,000","$70,000"
2018-19,-,"$741,667",0.9%,"$758,333","$25,000","$75,000","$650,000","$725,000","$70,000"
2019-20,-,"$741,667",0.9%,"$758,333",$0,"$75,000","$700,000","$775,000","$70,000"

