PLAYER CONTRACT SUMMARY
Player Name,Matt#15 Hendricks
NHL Player ID,8468611
Official Name,Matt Hendricks
Current Team,EDM
Position,L
Number,#23
Export Date,2025-10-17 15:17:10

DATA SUMMARY
Total Contracts,7
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
35+ Contract,MIN,2018-07-01,1,700000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Jul. 1, 2018"
35+ Contract,WPG,2017-08-26,1,700000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Aug. 26, 2017"
Standard Contract,NSH,2013-07-05,4,7400000,,"UFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 5, 2013"
Standard Contract (Extension),WSH,2011-02-23,2,1650000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Feb. 23, 2011"
Standard Contract,WSH,2010-09-27,1,575000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Sep. 27, 2010"
Standard Contract,COL,2009-07-06,1,500000,,"UFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 6, 2009"
Standard Contract,BOS,2007-07-09,2,1000000,,"UFACap Percent : -%Signing Team: Boston BruinsSigning Date: Jul. 9, 2007"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2018-19,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000",-
2017-18,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000",-
2013-14,-,"$1,850,000",2.9%,"$1,850,000",$0,"$200,000","$1,650,000","$1,850,000",-
2014-15,-,"$1,850,000",2.7%,"$1,850,000",$0,$0,"$1,850,000","$1,850,000",-
2015-16,-,"$1,850,000",2.6%,"$1,850,000",$0,$0,"$1,850,000","$1,850,000",-
2016-17,-,"$1,850,000",2.5%,"$1,850,000",$0,$0,"$1,850,000","$1,850,000",-
2011-12,-,"$825,000",1.3%,"$825,000",$0,"$50,000","$800,000","$850,000",-
2012-13,-,"$825,000",1.4%,"$825,000",$0,$0,"$800,000","$800,000",-
2010-11,-,"$575,000",1.0%,"$575,000",$0,$0,"$575,000","$575,000","$105,000"
2009-10,-,"$500,000",0.9%,"$500,000",$0,$0,"$500,000","$500,000","$105,000"
2007-08,-,"$500,000",1.0%,"$500,000",$0,"$25,000","$475,000","$500,000","$75,000"
2008-09,-,"$500,000",0.9%,"$500,000",$0,$0,"$500,000","$500,000","$85,000"

