PLAYER CONTRACT SUMMARY
Player Name,Matt#3 Roy
NHL Player ID,8478911
Official Name,Matt Roy
Current Team,WSH
Position,D
Number,#3
Export Date,2025-10-16 16:54:41

DATA SUMMARY
Total Contracts,4
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,WSH,2024-07-01,6,40250000,,"UFACap Percent : 6.0%Signing Team: Washington CapitalsSigning Date: Jul. 1, 2024"
Standard Contract (Extension),LAK,2021-03-21,3,9450000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Mar. 21, 2021"
Standard Contract,LAK,2019-07-15,2,1400000,,"RFA (Arb)Cap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 15, 2019"
Entry-Level Contract,LAK,2017-03-27,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: Los Angeles KingsSigning Date: Mar. 27, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$5,750,000",6.5%,"$5,750,000",$0,"$300,000","$400,000","$7,000,000",-
2025-26,-,"$5,750,000",6.0%,"$5,750,000",$0,"$300,000","$3,750,000","$6,750,000",-
2026-27,-,"$5,750,000",5.5%,"$5,750,000",$0,"$200,000","$400,000","$6,000,000",-
2027-28,-,"$5,750,000",5.1%,"$5,750,000",$0,"$200,000","$3,500,000","$5,500,000",-
2028-29,-,"$5,750,000",4.7%,"$5,750,000",$0,"$200,000","$2,750,000","$4,750,000",-
2029-30,-,"$5,750,000",4.4%,"$5,750,000",$0,"$200,000","$2,500,000","$4,500,000",-
2021-22,-,"$3,150,000",3.9%,"$3,150,000",$0,$0,"$2,000,000","$2,000,000",-
2022-23,-,"$3,150,000",3.8%,"$3,150,000",$0,$0,"$3,250,000","$3,250,000",-
2023-24,-,"$3,150,000",3.8%,"$3,150,000",$0,$0,"$4,200,000","$4,200,000",-
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$200,000"
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$700,000"
2017-18,-,"$833,750",1.1%,"$925,000","$182,500","$92,500","$650,000","$742,500","$70,000"
2018-19,-,"$833,750",1.0%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

