PLAYER CONTRACT SUMMARY
Player Name,Matthew#20 Highmore
NHL Player ID,8478146
Official Name,Matthew Highmore
Current Team,CHI
Position,C
Number,#36
Export Date,2025-10-18 14:36:00

DATA SUMMARY
Total Contracts,6
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,NYI,2025-07-01,1,775000,,"UFACap Percent : 0.8%Signing Team: New York IslandersSigning Date: Jul. 01, 2025"
Standard Contract (Extension),OTT,2024-06-27,1,775000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jun. 27, 2024"
Standard Contract,OTT,2023-07-01,1,775000,,"UFACap Percent : -%Signing Team: Ottawa SenatorsSigning Date: Jul. 1, 2023"
Standard Contract,STL,2022-07-14,1,750000,,"UFACap Percent : -%Signing Team: St. Louis BluesSigning Date: Jul. 14, 2022"
Standard Contract (Extension),CHI,2020-04-02,2,1450000,,"UFA (No QO)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Apr. 2, 2020"
Entry-Level Contract,CHI,2017-03-02,3,2775000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Mar. 2, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$325,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$400,000"
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$400,000"
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$400,000"
2020-21,-,"$725,000",0.9%,"$725,000",$0,$0,"$700,000","$700,000","$450,000"
2021-22,-,"$725,000",0.9%,"$725,000",$0,$0,"$750,000","$750,000","$750,000"
2017-18,-,"$775,833",1.0%,"$925,000","$182,500","$92,500","$650,000","$742,500","$70,000"
2018-19,-,"$775,833",1.0%,"$925,000","$157,500","$92,500","$675,000","$767,500","$70,000"
2019-20,-,"$775,833",1.0%,"$925,000","$107,500","$92,500","$725,000","$817,500","$70,000"

