PLAYER CONTRACT SUMMARY
Player Name,Max#67 Pacioretty
NHL Player ID,8474157
Official Name,Max Pacioretty
Current Team,MTL
Position,L
Number,#67
Export Date,2025-10-17 12:32:44

DATA SUMMARY
Total Contracts,6
Total Contract Details,17

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
35+ Contract,TOR,2024-10-07,1,1473770,,"UFACap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: Oct. 07, 2024"
Standard Contract,WSH,2023-07-01,1,4000000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Jul. 1, 2023"
Standard Contract (Extension),VGK,2018-09-10,4,28000000,,"UFACap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Sep. 10, 2018"
Standard Contract (Extension),MTL,2012-08-16,6,27000000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Aug. 16, 2012"
Standard Contract (Extension),MTL,2011-06-20,2,3250000,,"RFA (Arb)Cap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jun. 20, 2011"
Entry-Level Contract,MTL,2008-07-17,3,2730000,,"RFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jul. 17, 2008"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$873,770",1.0%,"$1,473,770","$626,230",$0,"$873,770","$873,770",-
2023-24,NMC,"$2,000,000",2.4%,"$4,000,000","$2,000,000",$0,"$2,000,000","$2,000,000",-
2019-20,M-NTC,"$7,000,000",8.6%,"$7,000,000",$0,$0,"$10,500,000","$10,500,000",-
2020-21,M-NTC,"$7,000,000",8.6%,"$7,000,000",$0,$0,"$7,000,000","$7,000,000",-
2021-22,M-NTC,"$7,000,000",8.6%,"$7,000,000",$0,$0,"$5,250,000","$5,250,000",-
2022-23,M-NTC,"$7,000,000",8.5%,"$7,000,000",$0,$0,"$5,250,000","$5,250,000",-
2013-14,-,"$4,500,000",7.0%,"$4,500,000",$0,$0,"$4,000,000","$4,000,000",-
2014-15,-,"$4,500,000",6.5%,"$4,500,000",$0,$0,"$4,000,000","$4,000,000",-
2015-16,-,"$4,500,000",6.3%,"$4,500,000",$0,$0,"$4,000,000","$4,000,000",-
2016-17,-,"$4,500,000",6.2%,"$4,500,000",$0,$0,"$5,000,000","$5,000,000",-
2017-18,-,"$4,500,000",6.0%,"$4,500,000",$0,$0,"$5,000,000","$5,000,000",-
2018-19,-,"$4,500,000",5.7%,"$4,500,000",$0,$0,"$5,000,000","$5,000,000",-
2011-12,-,"$1,625,000",2.5%,"$1,625,000",$0,$0,"$1,500,000","$1,500,000",-
2012-13,-,"$1,625,000",2.7%,"$1,625,000",$0,$0,"$1,750,000","$1,750,000",-
2008-09,-,"$875,000",1.5%,"$910,000","$105,000","$87,500","$787,500","$875,000","$65,000"
2009-10,-,"$875,000",1.5%,"$910,000",$0,"$87,500","$787,500","$875,000","$65,000"
2010-11,-,"$875,000",1.5%,"$910,000",$0,"$87,500","$787,500","$875,000","$65,000"

