PLAYER CONTRACT SUMMARY
Player Name,Michael#67 Frolik
NHL Player ID,8473564
Official Name,Michael Frolik
Current Team,CGY
Position,R
Number,#67
Export Date,2025-10-17 15:01:15

DATA SUMMARY
Total Contracts,5
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,MTL,2020-12-23,1,750000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Dec. 23, 2020"
Standard Contract,CGY,2015-07-01,5,21500000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 1, 2015"
Standard Contract,WPG,2014-07-29,1,3300000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 29, 2014"
Standard Contract,CHI,2011-07-15,3,7000000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Jul. 15, 2011"
Entry-Level Contract,FLA,2008-05-28,3,3825000,,"RFACap Percent : -%Signing Team: Florida PanthersSigning Date: May 28, 2008"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2020-21,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2015-16,M-NTC,"$4,300,000",6.0%,"$4,300,000",$0,$0,"$5,500,000","$5,500,000",-
2016-17,M-NTC,"$4,300,000",5.9%,"$4,300,000",$0,$0,"$5,000,000","$5,000,000",-
2017-18,M-NTC,"$4,300,000",5.7%,"$4,300,000",$0,$0,"$4,000,000","$4,000,000",-
2018-19,M-NTC,"$4,300,000",5.4%,"$4,300,000",$0,$0,"$4,000,000","$4,000,000",-
2019-20,M-NTC,"$4,300,000",5.3%,"$4,300,000",$0,$0,"$3,000,000","$3,000,000",-
2014-15,-,"$3,300,000",4.8%,"$3,300,000",$0,$0,"$3,300,000","$3,300,000",-
2011-12,-,"$2,333,333",3.6%,"$2,333,333",$0,"$300,000","$2,700,000","$3,000,000","$62,500"
2012-13,-,"$2,333,333",3.9%,"$2,333,333",$0,"$300,000","$1,800,000","$2,100,000","$62,500"
2013-14,-,"$2,333,333",3.6%,"$2,333,333",$0,$0,"$1,900,000","$1,900,000","$62,500"
2008-09,-,"$850,000",1.5%,"$1,275,000","$425,000","$85,000","$765,000","$850,000","$62,500"
2009-10,-,"$850,000",1.5%,"$1,275,000","$425,000","$85,000","$765,000","$850,000","$62,500"
2010-11,-,"$850,000",1.4%,"$1,275,000","$425,000","$85,000","$765,000","$850,000","$62,500"

