PLAYER CONTRACT SUMMARY
Player Name,Michael#61 Pezzetta
NHL Player ID,8479543
Official Name,Michael Pezzetta
Current Team,MTL
Position,L
Number,#55
Export Date,2025-10-18 14:46:54

DATA SUMMARY
Total Contracts,5
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,TOR,2025-07-01,2,1625000,,"UFACap Percent : 0.9%Signing Team: Toronto Maple LeafsSigning Date: Jul. 01, 2025"
Standard Contract (Extension),MTL,2023-06-02,2,1625000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jun. 2, 2023"
Standard Contract (Extension),MTL,2022-07-11,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jul. 11, 2022"
Standard Contract,MTL,2021-08-05,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Montreal CanadiensSigning Date: Aug. 5, 2021"
Entry-Level Contract,MTL,2018-03-07,3,2230000,,"RFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Mar. 7, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$812,500",0.9%,"$812,500",$0,$0,"$775,000","$775,000",-
2026-27,-,"$812,500",0.8%,"$812,500",$0,$0,"$850,000","$850,000",-
2023-24,-,"$812,500",1.0%,"$812,500",$0,$0,"$800,000","$800,000",-
2024-25,-,"$812,500",0.9%,"$812,500",$0,$0,"$825,000","$825,000",-
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$82,500"
2018-19,-,"$743,333",0.9%,"$743,333",$0,"$70,000","$650,000","$720,000","$67,500"
2019-20,-,"$743,333",0.9%,"$743,333",$0,"$60,000","$700,000","$760,000","$67,500"
2020-21,-,"$743,333",0.9%,"$743,333",$0,"$50,000","$700,000","$750,000","$67,500"

