PLAYER CONTRACT SUMMARY
Player Name,Morgan#39 Geekie
NHL Player ID,8479987
Official Name,Morgan Geekie
Current Team,BOS
Position,C
Number,#39
Export Date,2025-10-16 16:22:51

DATA SUMMARY
Total Contracts,5
Total Contract Details,13

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),BOS,2025-06-29,6,33000000,,"UFACap Percent : 5.8%Signing Team: Boston BruinsSigning Date: Jun. 29, 2025"
Standard Contract,BOS,2023-07-01,2,4000000,,"RFA (Arb)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Jul. 1, 2023"
Standard Contract,SEA,2022-07-24,1,1400000,,"UFA (No QO)Cap Percent : -%Signing Team: Seattle KrakenSigning Date: Jul. 24, 2022"
Standard Contract (Extension),CAR,2021-07-16,1,750000,,"RFA (Arb)Cap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 16, 2021"
Entry-Level Contract,CAR,2018-05-09,3,2400000,,"RFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: May 9, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,NMC,"$5,500,000",5.8%,"$5,500,000",$0,"$2,500,000","$2,750,000","$5,250,000",-
2026-27,NMC,"$5,500,000",5.3%,"$5,500,000",$0,"$2,500,000","$4,000,000","$6,500,000",-
2027-28,M-NTC,"$5,500,000",4.8%,"$5,500,000",$0,"$2,000,000","$4,500,000","$6,500,000",-
2028-29,M-NTC,"$5,500,000",4.5%,"$5,500,000",$0,"$1,000,000","$4,500,000","$5,500,000",-
2029-30,M-NTC,"$5,500,000",4.2%,"$5,500,000",$0,$0,"$5,000,000","$5,000,000",-
2030-31,-,"$5,500,000",4.0%,"$5,500,000",$0,$0,"$4,250,000","$4,250,000",-
2023-24,-,"$2,000,000",2.4%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2024-25,-,"$2,000,000",2.3%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2022-23,-,"$1,400,000",1.7%,"$1,400,000",$0,$0,"$1,400,000","$1,400,000",-
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$75,000"
2018-19,-,"$763,333",1.0%,"$800,000","$70,000","$80,000","$650,000","$730,000","$70,000"
2019-20,-,"$763,333",0.9%,"$800,000","$20,000","$80,000","$700,000","$780,000","$70,000"
2020-21,-,"$763,333",0.9%,"$800,000","$20,000","$80,000","$700,000","$780,000","$70,000"

