PLAYER CONTRACT SUMMARY
Player Name,Neal#4 Pionk
NHL Player ID,8480145
Official Name,Neal Pionk
Current Team,WPG
Position,D
Number,#4
Export Date,2025-10-16 16:53:35

DATA SUMMARY
Total Contracts,4
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),WPG,2025-04-17,6,42000000,,"UFACap Percent : 7.3%Signing Team: Winnipeg JetsSigning Date: Apr. 17, 2025"
Standard Contract,WPG,2021-08-11,4,23500000,,"UFACap Percent : -%Signing Team: Winnipeg JetsSigning Date: Aug. 11, 2021"
Standard Contract,WPG,2019-07-21,2,6000000,,"RFA (Arb)Cap Percent : -%Signing Team: Winnipeg JetsSigning Date: Jul. 21, 2019"
Entry-Level Contract,NYR,2017-05-01,2,3550000,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: May 1, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,M-NTC,"$7,000,000",7.3%,"$7,000,000",$0,"$4,000,000","$4,000,000","$8,000,000",-
2026-27,M-NTC,"$7,000,000",6.7%,"$7,000,000",$0,$0,"$8,000,000","$8,000,000",-
2027-28,M-NTC,"$7,000,000",6.2%,"$7,000,000",$0,$0,"$7,500,000","$7,500,000",-
2028-29,M-NTC,"$7,000,000",5.7%,"$7,000,000",$0,$0,"$7,500,000","$7,500,000",-
2029-30,M-NTC,"$7,000,000",5.3%,"$7,000,000",$0,$0,"$6,000,000","$6,000,000",-
2030-31,M-NTC,"$7,000,000",5.0%,"$7,000,000",$0,$0,"$5,000,000","$5,000,000",-
2021-22,-,"$5,875,000",7.2%,"$5,875,000",$0,$0,"$3,500,000","$3,500,000",-
2022-23,-,"$5,875,000",7.1%,"$5,875,000",$0,$0,"$6,500,000","$6,500,000",-
2023-24,M-NTC,"$5,875,000",7.0%,"$5,875,000",$0,$0,"$7,500,000","$7,500,000",-
2024-25,M-NTC,"$5,875,000",6.7%,"$5,875,000",$0,$0,"$6,000,000","$6,000,000",-
2019-20,-,"$3,000,000",3.7%,"$3,000,000",$0,$0,"$2,850,000","$2,850,000",-
2020-21,-,"$3,000,000",3.7%,"$3,000,000",$0,$0,"$3,150,000","$3,150,000",-
2017-18,-,"$925,000",1.2%,"$1,775,000","$850,000","$92,500","$832,500","$925,000","$70,000"
2018-19,-,"$925,000",1.2%,"$1,775,000","$850,000","$92,500","$832,500","$925,000","$70,000"

