PLAYER CONTRACT SUMMARY
Player Name,Nick#57 DeSimone
NHL Player ID,8480084
Official Name,Nick DeSimone
Current Team,UTA
Position,D
Number,#57
Export Date,2025-10-16 16:49:45

DATA SUMMARY
Total Contracts,6
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),UTA,2025-05-29,1,800000,,"UFACap Percent : 0.8%Signing Team: Utah MammothSigning Date: May. 29, 2025"
Standard Contract (Extension),NJD,2024-06-24,1,775000,,"UFACap Percent : -%Signing Team: New Jersey DevilsSigning Date: Jun. 24, 2024"
Standard Contract,CGY,2022-07-13,2,1525000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 13, 2022"
Standard Contract,CGY,2021-07-28,1,750000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 28, 2021"
Standard Contract,SJS,2019-07-11,2,1400000,,"UFA (Group 6)Cap Percent : -%Signing Team: San Jose SharksSigning Date: Jul. 11, 2019"
Entry-Level Contract,SJS,2017-03-30,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: San Jose SharksSigning Date: Mar. 30, 2017"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$800,000",0.8%,"$800,000",$0,$0,"$800,000","$800,000",-
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000",-
2022-23,-,"$762,500",0.9%,"$762,500",$0,$0,"$750,000","$750,000","$325,000"
2023-24,-,"$762,500",0.9%,"$762,500",$0,$0,"$775,000","$775,000","$325,000"
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$275,000"
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$175,000"
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$225,000"
2017-18,-,"$925,000",1.2%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"
2018-19,-,"$925,000",1.2%,"$925,000",$0,"$92,500","$832,500","$925,000","$70,000"

