PLAYER CONTRACT SUMMARY
Player Name,Nick#55 Schultz
NHL Player ID,8468513
Official Name,Nick Schultz
Current Team,PHI
Position,D
Number,#55
Export Date,2025-10-17 15:37:28

DATA SUMMARY
Total Contracts,4
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),PHI,2015-02-20,2,4500000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Feb. 20, 2015"
Standard Contract,PHI,2014-07-02,1,1250000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Jul. 2, 2014"
Standard Contract (Extension),MIN,2008-02-23,6,21000000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Feb. 23, 2008"
Standard Contract,MIN,2007-07-23,1,1850000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Jul. 23, 2007"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2015-16,-,"$2,250,000",3.2%,"$2,250,000",$0,$0,"$2,250,000","$2,250,000",-
2016-17,-,"$2,250,000",3.1%,"$2,250,000",$0,$0,"$2,250,000","$2,250,000",-
2014-15,-,"$1,250,000",1.8%,"$1,250,000",$0,$0,"$1,250,000","$1,250,000",-
2008-09,-,"$3,500,000",6.2%,"$3,500,000",$0,$0,"$3,200,000","$3,200,000",-
2009-10,-,"$3,500,000",6.2%,"$3,500,000",$0,$0,"$3,400,000","$3,400,000",-
2010-11,-,"$3,500,000",5.9%,"$3,500,000",$0,$0,"$3,600,000","$3,600,000",-
2011-12,-,"$3,500,000",5.4%,"$3,500,000",$0,$0,"$3,600,000","$3,600,000",-
2012-13,-,"$3,500,000",5.8%,"$3,500,000",$0,$0,"$3,600,000","$3,600,000",-
2013-14,-,"$3,500,000",5.4%,"$3,500,000",$0,$0,"$3,600,000","$3,600,000",-
2007-08,-,"$1,850,000",3.7%,"$1,850,000",$0,$0,"$1,850,000","$1,850,000",-

