PLAYER CONTRACT SUMMARY
Player Name,Nick#24 Seeler
NHL Player ID,8476372
Official Name,Nick Seeler
Current Team,PHI
Position,D
Number,#24
Export Date,2025-10-16 16:42:29

DATA SUMMARY
Total Contracts,5
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),PHI,2024-03-06,4,10800000,,"UFACap Percent : 2.8%Signing Team: Philadelphia FlyersSigning Date: Mar. 6, 2024"
Standard Contract (Extension),PHI,2022-05-19,2,1550000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: May 19, 2022"
Standard Contract,PHI,2021-07-28,1,750000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Jul. 28, 2021"
Standard Contract,MIN,2018-07-01,3,2175000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Jul. 1, 2018"
Entry-Level Contract,MIN,2016-03-26,2,1850000,,"RFA (Arb)Cap Percent : -%Signing Team: Minnesota WildSigning Date: Mar. 26, 2016"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,NTC,"$2,700,000",3.1%,"$2,700,000",$0,"$1,500,000","$1,200,000","$2,700,000",-
2025-26,NTC,"$2,700,000",2.8%,"$2,700,000",$0,"$1,000,000","$1,700,000","$2,700,000",-
2026-27,-,"$2,700,000",2.6%,"$2,700,000",$0,$0,"$2,700,000","$2,700,000",-
2027-28,-,"$2,700,000",2.4%,"$2,700,000",$0,$0,"$2,700,000","$2,700,000",-
2022-23,-,"$775,000",0.9%,"$775,000",$0,$0,"$750,000","$750,000","$750,000"
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$800,000","$800,000","$350,000"
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$300,000"
2018-19,-,"$725,000",0.9%,"$725,000",$0,$0,"$675,000","$675,000",-
2019-20,-,"$725,000",0.9%,"$725,000",$0,$0,"$750,000","$750,000",-
2020-21,-,"$725,000",0.9%,"$725,000",$0,$0,"$750,000","$750,000",-
2016-17,-,"$717,500",1.0%,"$925,000","$232,500","$92,500","$600,000","$692,500","$70,000"
2017-18,-,"$717,500",1.0%,"$925,000","$182,500","$92,500","$650,000","$742,500","$70,000"

