PLAYER CONTRACT SUMMARY
Player Name,Nicklas#8 Grossmann
NHL Player ID,8471269
Official Name,Nicklas Grossmann
Current Team,UTA
Position,D
Number,#2
Export Date,2025-10-17 15:49:38

DATA SUMMARY
Total Contracts,5
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,CGY,2016-10-11,1,575000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Oct. 11, 2016"
Standard Contract (Extension),PHI,2012-04-08,4,14000000,,"UFACap Percent : -%Signing Team: Philadelphia FlyersSigning Date: Apr. 8, 2012"
Standard Contract,DAL,2010-08-26,2,3250000,,"UFACap Percent : -%Signing Team: Dallas StarsSigning Date: Aug. 26, 2010"
Standard Contract (Extension),DAL,2008-04-07,2,1950000,,"RFA (Arb)Cap Percent : -%Signing Team: Dallas StarsSigning Date: Apr. 7, 2008"
Entry-Level Contract,DAL,2005-08-24,3,1800000,,"RFACap Percent : -%Signing Team: Dallas StarsSigning Date: Aug. 24, 2005"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2016-17,-,"$575,000",0.8%,"$575,000",$0,$0,"$575,000","$575,000",-
2012-13,M-NTC,"$3,500,000",5.8%,"$3,500,000",$0,"$250,000","$3,250,000","$3,500,000",-
2013-14,M-NTC,"$3,500,000",5.4%,"$3,500,000",$0,"$250,000","$3,250,000","$3,500,000",-
2014-15,M-NTC,"$3,500,000",5.1%,"$3,500,000",$0,"$250,000","$3,250,000","$3,500,000",-
2015-16,M-NTC,"$3,500,000",4.9%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2010-11,-,"$1,625,000",2.7%,"$1,625,000",$0,$0,"$1,500,000","$1,500,000",-
2011-12,-,"$1,625,000",2.5%,"$1,625,000",$0,$0,"$1,750,000","$1,750,000",-
2008-09,-,"$975,000",1.7%,"$975,000",$0,$0,"$900,000","$900,000",-
2009-10,-,"$975,000",1.7%,"$975,000",$0,$0,"$1,050,000","$1,050,000",-
2005-06,-,"$591,667",1.5%,"$600,000",$0,"$100,000","$450,000","$550,000","$55,000"
2006-07,-,"$591,667",1.3%,"$600,000",$0,"$100,000","$450,000","$550,000","$55,000"
2007-08,-,"$591,667",1.2%,"$600,000","$25,000","$200,000","$475,000","$675,000","$60,000"

