PLAYER CONTRACT SUMMARY
Player Name,Nico#78 Sturm
NHL Player ID,8481477
Official Name,Nico Sturm
Current Team,MIN
Position,C
Number,#78
Export Date,2025-10-16 16:34:55

DATA SUMMARY
Total Contracts,5
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,MIN,2025-07-01,2,4000000,,"UFACap Percent : 2.1%Signing Team: Minnesota WildSigning Date: Jul. 1, 2025"
Standard Contract,SJS,2022-07-13,3,6000000,,"UFACap Percent : -%Signing Team: San Jose SharksSigning Date: Jul. 13, 2022"
Standard Contract (Extension),MIN,2020-10-05,2,1450000,,"UFACap Percent : -%Signing Team: Minnesota WildSigning Date: Oct. 5, 2020"
Standard Contract,MIN,2019-07-16,1,874125,,"RFA (Arb)Cap Percent : -%Signing Team: Minnesota WildSigning Date: Jul. 16, 2019"
Entry-Level Contract,MIN,2019-04-01,1,925000,,"10.2(c)Cap Percent : -%Signing Team: Minnesota WildSigning Date: Apr. 1, 2019"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$2,000,000",2.1%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2026-27,-,"$2,000,000",1.9%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2022-23,-,"$2,000,000",2.4%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2023-24,-,"$2,000,000",2.4%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2024-25,-,"$2,000,000",2.3%,"$2,000,000",$0,$0,"$2,000,000","$2,000,000",-
2020-21,-,"$725,000",0.9%,"$725,000",$0,$0,"$700,000","$700,000",-
2021-22,-,"$725,000",0.9%,"$725,000",$0,$0,"$750,000","$750,000",-
2019-20,-,"$874,125",1.1%,"$874,125",$0,$0,"$874,125","$874,125","$70,000"
2018-19,-,"$4,273,500",5.4%,"$4,273,500",$0,"$92,500","$832,500","$925,000","$70,000"

