PLAYER CONTRACT SUMMARY
Player Name,Olli#2 Maatta
Export Date,2025-10-17 12:32:04

DATA SUMMARY
Total Contracts,5
Total Contract Details,16

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),UTA,2025-03-03,3,10500000,,"UFACap Percent : 3.7%Signing Team: Utah Hockey ClubSigning Date: Mar. 03, 2025"
Standard Contract (Extension),DET,2023-02-16,2,6000000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Feb. 16, 2023"
Standard Contract,DET,2022-07-13,1,2250000,,"UFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 13, 2022"
Standard Contract (Extension),PIT,2016-02-26,6,24500000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Feb. 26, 2016"
Entry-Level Contract,PIT,2012-09-14,3,2775000,,"RFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Sep. 14, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,M-NTC,"$3,500,000",3.7%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2026-27,M-NTC,"$3,500,000",3.4%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2027-28,-,"$3,500,000",3.1%,"$3,500,000",$0,$0,"$3,500,000","$3,500,000",-
2023-24,-,"$3,000,000",3.6%,"$3,000,000",$0,$0,"$3,000,000","$3,000,000",-
2024-25,-,"$3,000,000",3.4%,"$3,000,000",$0,$0,"$3,000,000","$3,000,000",-
2022-23,-,"$2,250,000",2.7%,"$2,250,000",$0,$0,"$2,250,000","$2,250,000",-
2016-17,-,"$4,083,333",5.6%,"$4,083,333",$0,$0,"$4,083,300","$4,083,300",-
2017-18,-,"$4,083,333",5.4%,"$4,083,333",$0,$0,"$4,083,300","$4,083,300",-
2018-19,-,"$4,083,333",5.1%,"$4,083,333",$0,$0,"$4,083,300","$4,083,300",-
2019-20,-,"$4,083,333",5.0%,"$4,083,333",$0,$0,"$4,083,300","$4,083,300",-
2020-21,-,"$4,083,333",5.0%,"$4,083,333",$0,$0,"$4,083,300","$4,083,300",-
2021-22,-,"$4,083,333",5.0%,"$4,083,333",$0,$0,"$4,083,500","$4,083,500",-
2012-13,-,"$925,000",1.5%,"$925,000",$0,"$92,500",-,-,-
2013-14,-,"$894,167",1.4%,"$894,167",$0,"$92,500","$832,500","$925,000","$70,000"
2014-15,-,"$894,167",1.3%,"$894,167",$0,"$92,500","$832,500","$925,000","$70,000"
2015-16,-,"$894,167",1.3%,"$894,167",$0,$0,"$832,500","$832,500","$70,000"

