PLAYER CONTRACT SUMMARY
Player Name,Parker#28 Wotherspoon
NHL Player ID,8478450
Official Name,Parker Wotherspoon
Current Team,PIT
Position,D
Number,#28
Export Date,2025-10-16 16:43:40

DATA SUMMARY
Total Contracts,6
Total Contract Details,11

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,PIT,2025-07-01,2,2000000,,"UFACap Percent : 1.0%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 01, 2025"
Standard Contract (Extension),BOS,2024-03-08,1,800000,,"UFACap Percent : -%Signing Team: Boston BruinsSigning Date: Mar. 8, 2024"
Standard Contract,BOS,2023-07-01,1,775000,,"RFA (Arb)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Jul. 1, 2023"
Standard Contract,NYI,2022-09-21,1,750000,,"UFA (Group 6)Cap Percent : -%Signing Team: New York IslandersSigning Date: Sep. 21, 2022"
Standard Contract,NYI,2020-10-16,2,1450000,,"RFA (Arb)Cap Percent : -%Signing Team: New York IslandersSigning Date: Oct. 16, 2020"
Entry-Level Contract,NYI,2016-05-02,3,2650000,,"RFACap Percent : -%Signing Team: New York IslandersSigning Date: May 2, 2016"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$1,000,000",1.0%,"$1,000,000",$0,$0,"$1,000,000","$1,000,000",-
2026-27,-,"$1,000,000",1.0%,"$1,000,000",$0,$0,"$1,000,000","$1,000,000",-
2024-25,-,"$800,000",0.9%,"$800,000",$0,$0,"$800,000","$800,000",-
2023-24,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$450,000"
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000","$175,000"
2020-21,-,"$725,000",0.9%,"$725,000",$0,$0,"$700,000","$700,000","$100,000"
2021-22,-,"$725,000",0.9%,"$725,000",$0,$0,"$750,000","$750,000","$125,000"
2016-17,-,"$735,833",1.0%,"$858,333",$0,"$85,000",-,-,-
2017-18,-,"$732,222",1.0%,"$854,722","$190,000","$85,000","$650,000","$735,000","$70,000"
2018-19,-,"$732,222",0.9%,"$854,722","$115,000","$87,500","$650,000","$737,500","$70,000"
2019-20,-,"$732,222",0.9%,"$854,722","$62,500",$0,"$725,000","$725,000","$70,000"

