PLAYER CONTRACT SUMMARY
Player Name,Patrick#38 Brown
NHL Player ID,8477887
Official Name,Patrick Brown
Current Team,CAR
Position,C
Number,#36
Export Date,2025-10-18 14:18:38

DATA SUMMARY
Total Contracts,8
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract (Extension),BOS,2025-05-06,1,775000,,"UFACap Percent : 0.8%Signing Team: Boston BruinsSigning Date: May. 06, 2025"
Standard Contract,BOS,2023-07-01,2,1600000,,"UFACap Percent : -%Signing Team: Boston BruinsSigning Date: Jul. 1, 2023"
Standard Contract,VGK,2021-07-28,2,1500000,,"UFACap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Jul. 28, 2021"
Standard Contract,VGK,2019-07-01,2,1400000,,"UFACap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Jul. 1, 2019"
Standard Contract (Extension),CAR,2018-06-06,1,650000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jun. 6, 2018"
Standard Contract (Extension),CAR,2017-06-27,1,650000,,"UFA (Group 6)Cap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jun. 27, 2017"
Standard Contract (Extension),CAR,2016-06-28,1,650000,,"UFA (Group 6)Cap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jun. 28, 2016"
Entry-Level Contract,CAR,2014-05-26,2,1315000,,"RFA (Arb)Cap Percent : -%Signing Team: Carolina HurricanesSigning Date: May 26, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$450,000"
2023-24,-,"$800,000",1.0%,"$800,000",$0,$0,"$800,000","$800,000",-
2024-25,-,"$800,000",0.9%,"$800,000",$0,$0,"$800,000","$800,000",-
2021-22,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2019-20,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$450,000"
2020-21,-,"$700,000",0.9%,"$700,000",$0,$0,"$700,000","$700,000","$700,000"
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000","$100,000"
2017-18,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000","$160,000"
2016-17,-,"$650,000",0.9%,"$650,000",$0,$0,"$650,000","$650,000","$75,000"
2014-15,-,"$652,500",0.9%,"$657,500","$10,000","$65,000","$575,000","$640,000","$60,000"
2015-16,-,"$652,500",0.9%,"$657,500",$0,"$65,000","$600,000","$665,000","$60,000"

