PLAYER CONTRACT SUMMARY
Player Name,Paul#41 Byron
NHL Player ID,8474038
Official Name,Paul Byron
Current Team,MTL
Position,L
Number,#41
Export Date,2025-10-17 14:40:54

DATA SUMMARY
Total Contracts,7
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),MTL,2018-09-23,4,13600000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Sep. 23, 2018"
Standard Contract (Extension),MTL,2016-02-23,3,3500000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Feb. 23, 2016"
Standard Contract,CGY,2015-07-26,1,900000,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 26, 2015"
Standard Contract,CGY,2014-07-03,1,600000,,"RFA (Arb)Cap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 3, 2014"
Standard Contract,CGY,2013-07-20,1,643500,,"UFACap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 20, 2013"
Standard Contract,CGY,2012-07-04,1,560000,,"RFA (Arb)Cap Percent : -%Signing Team: Calgary FlamesSigning Date: Jul. 4, 2012"
Entry-Level Contract,BUF,2009-06-01,3,1665000,,"RFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jun. 1, 2009"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2019-20,-,"$3,400,000",4.2%,"$3,400,000",$0,$0,"$4,000,000","$4,000,000",-
2020-21,-,"$3,400,000",4.2%,"$3,400,000",$0,$0,"$2,800,000","$2,800,000",-
2021-22,-,"$3,400,000",4.2%,"$3,400,000",$0,$0,"$4,000,000","$4,000,000",-
2022-23,-,"$3,400,000",4.1%,"$3,400,000",$0,$0,"$2,800,000","$2,800,000",-
2016-17,-,"$1,166,667",1.6%,"$1,166,667",$0,"$300,000","$1,000,000","$1,300,000",-
2017-18,-,"$1,166,667",1.6%,"$1,166,667",$0,$0,"$1,200,000","$1,200,000",-
2018-19,-,"$1,166,667",1.5%,"$1,166,667",$0,$0,"$1,000,000","$1,000,000",-
2015-16,-,"$900,000",1.3%,"$900,000",$0,$0,"$900,000","$900,000",-
2014-15,-,"$600,000",0.9%,"$600,000",$0,$0,"$600,000","$600,000",-
2013-14,-,"$643,500",1.0%,"$643,500",$0,$0,"$643,500","$643,500","$125,000"
2012-13,-,"$560,000",0.9%,"$560,000",$0,$0,"$560,000","$560,000","$150,000"
2009-10,-,"$555,000",1.0%,"$555,000",$0,"$50,000","$500,000","$550,000","$50,000"
2010-11,-,"$555,000",0.9%,"$555,000",$0,"$45,000","$500,000","$545,000","$55,000"
2011-12,-,"$555,000",0.9%,"$555,000",$0,"$45,000","$525,000","$570,000","$55,000"

