PLAYER CONTRACT SUMMARY
Player Name,Petr#34 Mrazek
NHL Player ID,8475852
Official Name,Petr Mrazek
Current Team,ANA
Position,G
Number,#34
Export Date,2025-10-16 16:22:42

DATA SUMMARY
Total Contracts,7
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),CHI,2024-01-24,2,8500000,,"UFACap Percent : 4.5%Signing Team: Chicago BlackhawksSigning Date: Jan. 24, 2024"
Standard Contract,TOR,2021-07-28,3,11400000,,"UFACap Percent : -%Signing Team: Toronto Maple LeafsSigning Date: Jul. 28, 2021"
Standard Contract,CAR,2019-07-01,2,6250000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 1, 2019"
Standard Contract,CAR,2018-07-01,1,1500000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 1, 2018"
Standard Contract,DET,2016-07-27,2,8000000,,"UFA (No QO)Cap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 27, 2016"
Standard Contract (Extension),DET,2014-07-01,1,737500,,"RFA (Arb)Cap Percent : -%Signing Team: Detroit Red WingsSigning Date: Jul. 1, 2014"
Entry-Level Contract,DET,2011-10-27,3,2450000,,"RFACap Percent : -%Signing Team: Detroit Red WingsSigning Date: Oct. 27, 2011"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$4,250,000",4.8%,"$4,250,000",$0,"$1,000,000","$3,850,000","$4,850,000",-
2025-26,-,"$4,250,000",4.5%,"$4,250,000",$0,"$1,000,000","$2,650,000","$3,650,000",-
2021-22,M-NTC,"$3,800,000",4.7%,"$3,800,000",$0,$0,"$2,800,000","$2,800,000",-
2022-23,M-NTC,"$3,800,000",4.6%,"$3,800,000",$0,$0,"$4,200,000","$4,200,000",-
2023-24,M-NTC,"$3,800,000",4.6%,"$3,800,000",$0,$0,"$4,400,000","$4,400,000",-
2019-20,-,"$3,125,000",3.8%,"$3,125,000",$0,$0,"$3,000,000","$3,000,000",-
2020-21,-,"$3,125,000",3.8%,"$3,125,000",$0,$0,"$3,250,000","$3,250,000",-
2018-19,-,"$1,500,000",1.9%,"$1,500,000",$0,$0,"$1,500,000","$1,500,000",-
2016-17,-,"$4,000,000",5.5%,"$4,000,000",$0,$0,"$3,850,000","$3,850,000",-
2017-18,-,"$4,000,000",5.3%,"$4,000,000",$0,$0,"$4,150,000","$4,150,000",-
2015-16,-,"$737,500",1.0%,"$737,500",$0,$0,"$737,500","$737,500",-
2011-12,-,"$605,000",0.9%,"$800,000",$0,"$80,000",-,-,-
2012-13,-,"$595,000",1.0%,"$790,000","$195,000","$80,000","$525,000","$605,000","$60,000"
2013-14,-,"$595,000",0.9%,"$790,000","$195,000","$80,000","$550,000","$630,000","$62,500"
2014-15,-,"$595,000",0.9%,"$790,000","$195,000",$0,"$550,000","$550,000","$65,000"

