PLAYER CONTRACT SUMMARY
Player Name,Rasmus#26 Dahlin
NHL Player ID,8480839
Official Name,Rasmus Dahlin
Current Team,BUF
Position,D
Number,#26
Export Date,2025-10-16 16:24:18

DATA SUMMARY
Total Contracts,3
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),BUF,2023-10-09,8,88000000,,"UFACap Percent : 11.5%Signing Team: Buffalo SabresSigning Date: Oct. 9, 2023"
Standard Contract,BUF,2021-09-22,3,18000000,,"RFA (Arb)Cap Percent : -%Signing Team: Buffalo SabresSigning Date: Sep. 22, 2021"
Entry-Level Contract,BUF,2018-07-09,3,11325000,,"RFACap Percent : -%Signing Team: Buffalo SabresSigning Date: Jul. 9, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$11,000,000",12.5%,"$11,000,000",$0,"$5,000,000","$8,000,000","$13,000,000",-
2025-26,NMC,"$11,000,000",11.5%,"$11,000,000",$0,$0,"$12,000,000","$12,000,000",-
2026-27,NMC,"$11,000,000",10.6%,"$11,000,000",$0,$0,"$11,000,000","$11,000,000",-
2027-28,NMC,"$11,000,000",9.7%,"$11,000,000",$0,$0,"$11,000,000","$11,000,000",-
2028-29,NMC,"$11,000,000",9.0%,"$11,000,000",$0,$0,"$11,000,000","$11,000,000",-
2029-30,NMC,"$11,000,000",8.4%,"$11,000,000",$0,$0,"$10,000,000","$10,000,000",-
2030-31,NMC,"$11,000,000",7.9%,"$11,000,000",$0,$0,"$10,000,000","$10,000,000",-
2031-32,NMC,"$11,000,000",7.5%,"$11,000,000",$0,$0,"$10,000,000","$10,000,000",-
2021-22,-,"$6,000,000",7.4%,"$6,000,000",$0,"$2,000,000","$3,000,000","$5,000,000",-
2022-23,-,"$6,000,000",7.3%,"$6,000,000",$0,$0,"$5,800,000","$5,800,000",-
2023-24,-,"$6,000,000",7.2%,"$6,000,000",$0,$0,"$7,200,000","$7,200,000",-
2018-19,-,"$925,000",1.2%,"$3,775,000","$2,850,000","$92,500","$832,500","$925,000","$70,000"
2019-20,-,"$925,000",1.1%,"$3,775,000","$2,850,000","$92,500","$832,500","$925,000","$70,000"
2020-21,-,"$925,000",1.1%,"$3,775,000","$2,850,000","$92,500","$832,500","$925,000","$70,000"

