PLAYER CONTRACT SUMMARY
Player Name,Reilly#19 Smith
NHL Player ID,8475191
Official Name,Reilly Smith
Current Team,VGK
Position,R
Number,#19
Export Date,2025-10-16 16:52:17

DATA SUMMARY
Total Contracts,6
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),VGK,2025-06-25,1,2000000,,"UFACap Percent : 2.1%Signing Team: Vegas Golden KnightsSigning Date: Jun. 25, 2025"
Standard Contract,VGK,2022-07-13,3,15000000,,"UFACap Percent : -%Signing Team: Vegas Golden KnightsSigning Date: Jul. 13, 2022"
Standard Contract (Extension),FLA,2016-07-03,5,25000000,,"UFACap Percent : -%Signing Team: Florida PanthersSigning Date: Jul. 3, 2016"
Standard Contract (Extension),BOS,2015-03-06,2,6850000,,"RFA (Arb)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Mar. 6, 2015"
Standard Contract,BOS,2014-09-28,1,1400000,,"RFA (Arb)Cap Percent : -%Signing Team: Boston BruinsSigning Date: Sep. 28, 2014"
Entry-Level Contract,DAL,2012-03-26,3,2700000,,"RFACap Percent : -%Signing Team: Dallas StarsSigning Date: Mar. 26, 2012"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$2,000,000",2.1%,"$2,000,000",$0,"$1,000,000","$1,000,000","$2,000,000",-
2022-23,M-NTC,"$5,000,000",6.1%,"$5,000,000",$0,"$2,000,000","$3,750,000","$5,750,000",-
2023-24,M-NTC,"$5,000,000",6.0%,"$5,000,000",$0,$0,"$5,250,000","$5,250,000",-
2024-25,M-NTC,"$1,875,000",2.1%,"$5,000,000",$0,$0,"$4,000,000","$4,000,000",-
2017-18,-,"$5,000,000",6.7%,"$5,000,000",$0,"$1,000,000","$5,000,000","$6,000,000",-
2018-19,M-NTC,"$5,000,000",6.3%,"$5,000,000",$0,"$1,000,000","$5,000,000","$6,000,000",-
2019-20,M-NTC,"$5,000,000",6.1%,"$5,000,000",$0,$0,"$5,000,000","$5,000,000",-
2020-21,M-NTC,"$5,000,000",6.1%,"$5,000,000",$0,$0,"$3,500,000","$3,500,000",-
2021-22,-,"$5,000,000",6.1%,"$5,000,000",$0,"$1,000,000","$3,500,000","$4,500,000",-
2015-16,-,"$3,425,000",4.8%,"$3,425,000",$0,"$500,000","$2,850,000","$3,350,000",-
2016-17,-,"$3,425,000",4.7%,"$3,425,000",$0,$0,"$3,500,000","$3,500,000",-
2014-15,-,"$1,400,000",2.0%,"$1,400,000",$0,$0,"$1,400,000","$1,400,000",-
2011-12,-,"$900,000",1.4%,"$900,000",$0,"$90,000","$810,000","$900,000","$67,500"
2012-13,-,"$900,000",1.5%,"$900,000",$0,"$90,000","$810,000","$900,000","$67,500"
2013-14,-,"$900,000",1.4%,"$900,000",$0,"$90,000","$810,000","$900,000","$67,500"

