PLAYER CONTRACT SUMMARY
Player Name,Riley#61 Stillman
NHL Player ID,8479388
Official Name,Riley Stillman
Current Team,FLA
Position,D
Number,#61
Export Date,2025-10-18 14:29:42

DATA SUMMARY
Total Contracts,4
Total Contract Details,9

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Two-Way Contract,EDM,2025-07-01,2,1550000,,"UFACap Percent : 0.8%Signing Team: Edmonton OilersSigning Date: Jul. 01, 2025"
Two-Way Contract,CAR,2024-07-03,1,775000,,"UFACap Percent : -%Signing Team: Carolina HurricanesSigning Date: Jul. 3, 2024"
Standard Contract (Extension),CHI,2021-04-25,3,4050000,,"RFA (Arb)Cap Percent : -%Signing Team: Chicago BlackhawksSigning Date: Apr. 25, 2021"
Entry-Level Contract,FLA,2018-03-03,3,2700000,,"RFACap Percent : -%Signing Team: Florida PanthersSigning Date: Mar. 3, 2018"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2025-26,-,"$775,000",0.8%,"$775,000",$0,$0,"$775,000","$775,000","$450,000"
2026-27,-,"$775,000",0.7%,"$775,000",$0,$0,"$775,000","$775,000","$475,000"
2024-25,-,"$775,000",0.9%,"$775,000",$0,$0,"$775,000","$775,000","$150,000"
2021-22,-,"$1,350,000",1.7%,"$1,350,000",$0,$0,"$1,350,000","$1,350,000",-
2022-23,-,"$1,350,000",1.6%,"$1,350,000",$0,$0,"$1,350,000","$1,350,000",-
2023-24,-,"$1,350,000",1.6%,"$1,350,000",$0,$0,"$1,350,000","$1,350,000",-
2018-19,-,"$773,333",1.0%,"$900,000","$182,500","$92,500","$650,000","$742,500","$62,500"
2019-20,-,"$773,333",0.9%,"$900,000","$132,500","$92,500","$700,000","$792,500","$62,500"
2020-21,-,"$773,333",0.9%,"$900,000","$65,000","$85,000","$700,000","$785,000","$62,500"

