PLAYER CONTRACT SUMMARY
Player Name,Ryan#24 Callahan
NHL Player ID,8471339
Official Name,Ryan Callahan
Current Team,TBL
Position,R
Number,#24
Export Date,2025-10-17 15:15:58

DATA SUMMARY
Total Contracts,4
Total Contract Details,14

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),TBL,2014-06-25,6,34800000,,"UFACap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Jun. 25, 2014"
Standard Contract,NYR,2011-07-27,3,12825000,,"UFACap Percent : -%Signing Team: New York RangersSigning Date: Jul. 27, 2011"
Standard Contract,NYR,2009-07-13,2,4600000,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: Jul. 13, 2009"
Entry-Level Contract,NYR,2006-05-11,3,1725000,,"RFA (Arb)Cap Percent : -%Signing Team: New York RangersSigning Date: May 11, 2006"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2014-15,NMC,"$5,800,000",8.4%,"$5,800,000",$0,$0,"$6,000,000","$6,000,000",-
2015-16,NMC,"$5,800,000",8.1%,"$5,800,000",$0,$0,"$6,400,000","$6,400,000",-
2016-17,NMC,"$5,800,000",7.9%,"$5,800,000",$0,$0,"$6,500,000","$6,500,000",-
2017-18,NMC,"$5,800,000",7.7%,"$5,800,000",$0,$0,"$6,500,000","$6,500,000",-
2018-19,"M-NTC, NMC","$5,800,000",7.3%,"$5,800,000",$0,$0,"$4,700,000","$4,700,000",-
2019-20,"M-NTC, NMC","$5,800,000",7.1%,"$5,800,000",$0,$0,"$4,700,000","$4,700,000",-
2011-12,-,"$4,275,000",6.6%,"$4,275,000",$0,"$250,000","$3,750,000","$4,000,000",-
2012-13,-,"$4,275,000",7.1%,"$4,275,000",$0,"$1,000,000","$3,000,000","$4,000,000",-
2013-14,-,"$4,275,000",6.6%,"$4,275,000",$0,$0,"$4,825,000","$4,825,000",-
2009-10,-,"$2,300,000",4.0%,"$2,300,000",$0,$0,"$2,200,000","$2,200,000",-
2010-11,-,"$2,300,000",3.9%,"$2,300,000",$0,$0,"$2,400,000","$2,400,000",-
2006-07,-,"$575,000",1.3%,"$575,000",$0,"$100,000","$450,000","$550,000","$60,000"
2007-08,-,"$575,000",1.1%,"$575,000",$0,"$100,000","$475,000","$575,000","$60,000"
2008-09,-,"$575,000",1.0%,"$575,000",$0,"$100,000","$500,000","$600,000","$60,000"

