PLAYER CONTRACT SUMMARY
Player Name,Ryan#27 Graves
NHL Player ID,8477435
Official Name,Ryan Graves
Current Team,COL
Position,D
Number,#27
Export Date,2025-10-18 14:40:12

DATA SUMMARY
Total Contracts,5
Total Contract Details,15

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,PIT,2023-07-01,6,27000000,,"UFACap Percent : 4.7%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 1, 2023"
Standard Contract,COL,2020-10-12,3,9500000,,"UFACap Percent : -%Signing Team: Colorado AvalancheSigning Date: Oct. 12, 2020"
Standard Contract,COL,2019-07-08,1,735000,,"RFA (Arb)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 8, 2019"
Standard Contract,COL,2018-07-16,1,650000,,"RFA (Arb)Cap Percent : -%Signing Team: Colorado AvalancheSigning Date: Jul. 16, 2018"
Entry-Level Contract,NYR,2014-03-17,3,2540000,,"RFACap Percent : -%Signing Team: New York RangersSigning Date: Mar. 17, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,M-NTC,"$3,350,000",4.0%,"$4,500,000",$0,"$2,000,000","$3,750,000","$5,750,000",-
2024-25,M-NTC,"$3,350,000",3.8%,"$4,500,000",$0,"$2,000,000","$3,500,000","$5,500,000",-
2025-26,M-NTC,"$3,350,000",3.5%,"$4,500,000",$0,"$2,000,000","$2,750,000","$4,750,000",-
2026-27,M-NTC,"$3,350,000",3.2%,"$4,500,000",$0,"$2,000,000","$1,750,000","$3,750,000",-
2027-28,M-NTC,"$3,350,000",3.0%,"$4,500,000",$0,"$2,000,000","$1,750,000","$3,750,000",-
2028-29,M-NTC,"$3,350,000",2.7%,"$4,500,000",$0,"$2,000,000","$1,500,000","$3,500,000",-
2020-21,-,"$3,166,667",3.9%,"$3,166,667",$0,$0,"$2,500,000","$2,500,000",-
2021-22,-,"$3,166,667",3.9%,"$3,166,667",$0,$0,"$3,000,000","$3,000,000",-
2022-23,-,"$3,166,667",3.8%,"$3,166,667",$0,$0,"$4,000,000","$4,000,000",-
2019-20,-,"$735,000",0.9%,"$735,000",$0,$0,"$735,000","$735,000","$350,000"
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000","$85,000"
2014-15,-,"$660,000",1.0%,"$850,000",$0,"$90,000",-,-,-
2015-16,-,"$656,667",0.9%,"$846,667","$260,000","$85,000","$575,000","$660,000","$65,000"
2016-17,-,"$656,667",0.9%,"$846,667","$190,000","$80,000","$580,000","$660,000","$67,500"
2017-18,-,"$656,667",0.9%,"$846,667","$120,000",$0,"$650,000","$650,000","$67,500"

