PLAYER CONTRACT SUMMARY
Player Name,Seth#3 Jones
NHL Player ID,8477495
Official Name,Seth Jones
Current Team,FLA
Position,D
Number,#3
Export Date,2025-10-16 16:33:16

DATA SUMMARY
Total Contracts,3
Total Contract Details,17

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),CHI,2021-07-23,8,76000000,,"UFACap Percent : 9.9%Signing Team: Chicago BlackhawksSigning Date: Jul. 23, 2021"
Standard Contract (Extension),CBJ,2016-06-29,6,32400000,,"UFACap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jun. 29, 2016"
Entry-Level Contract,NSH,2013-07-10,3,9675000,,"RFACap Percent : -%Signing Team: Nashville PredatorsSigning Date: Jul. 10, 2013"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2022-23,NMC,"$9,500,000",11.5%,"$9,500,000",$0,"$9,250,000","$750,000","$10,000,000",-
2023-24,NMC,"$9,500,000",11.4%,"$9,500,000",$0,"$5,000,000","$7,500,000","$12,500,000",-
2024-25,NMC,"$7,000,000",8.0%,"$9,500,000",$0,"$5,000,000","$7,500,000","$12,500,000",-
2025-26,NMC,"$7,000,000",7.3%,"$9,500,000",$0,"$5,000,000","$5,500,000","$10,500,000",-
2026-27,NMC,"$7,000,000",6.7%,"$9,500,000",$0,"$5,000,000","$3,000,000","$8,000,000",-
2027-28,NMC,"$7,000,000",6.2%,"$9,500,000",$0,"$5,000,000","$2,500,000","$7,500,000",-
2028-29,NMC,"$7,000,000",5.7%,"$9,500,000",$0,"$5,000,000","$2,500,000","$7,500,000",-
2029-30,NMC,"$7,000,000",5.3%,"$9,500,000",$0,"$5,000,000","$2,500,000","$7,500,000",-
2016-17,-,"$5,400,000",7.4%,"$5,400,000",$0,$0,"$5,400,000","$5,400,000",-
2017-18,-,"$5,400,000",7.2%,"$5,400,000",$0,$0,"$5,400,000","$5,400,000",-
2018-19,-,"$5,400,000",6.8%,"$5,400,000",$0,$0,"$5,400,000","$5,400,000",-
2019-20,-,"$5,400,000",6.6%,"$5,400,000",$0,$0,"$5,400,000","$5,400,000",-
2020-21,M-NTC,"$5,400,000",6.6%,"$5,400,000",$0,$0,"$5,400,000","$5,400,000",-
2021-22,M-NTC,"$5,400,000",6.6%,"$5,400,000",$0,$0,"$5,400,000","$5,400,000",-
2013-14,-,"$925,000",1.4%,"$3,225,000","$2,300,000","$92,500","$832,500","$925,000","$70,000"
2014-15,-,"$925,000",1.3%,"$3,225,000","$2,300,000","$92,500","$832,500","$925,000","$70,000"
2015-16,-,"$925,000",1.3%,"$3,225,000","$2,300,000","$92,500","$832,500","$925,000","$70,000"

