PLAYER CONTRACT SUMMARY
Player Name,Sonny#15 Milano
NHL Player ID,8477947
Official Name,Sonny Milano
Current Team,WSH
Position,L
Number,#15
Export Date,2025-10-16 16:54:10

DATA SUMMARY
Total Contracts,5
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),WSH,2023-02-04,3,5700000,,"UFACap Percent : 2.0%Signing Team: Washington CapitalsSigning Date: Feb. 4, 2023"
Standard Contract,WSH,2022-10-15,1,750000,,"UFACap Percent : -%Signing Team: Washington CapitalsSigning Date: Oct. 15, 2022"
Standard Contract (Extension),ANA,2020-07-28,2,3400000,,"UFA (No QO)Cap Percent : -%Signing Team: Anaheim DucksSigning Date: Jul. 28, 2020"
Standard Contract,CBJ,2019-07-15,1,874125,,"RFA (Arb)Cap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Jul. 15, 2019"
Entry-Level Contract,CBJ,2014-09-20,3,3882500,,"RFACap Percent : -%Signing Team: Columbus Blue JacketsSigning Date: Sep. 20, 2014"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2023-24,-,"$1,900,000",2.3%,"$1,900,000",$0,$0,"$2,350,000","$2,350,000",-
2024-25,-,"$1,900,000",2.2%,"$1,900,000",$0,$0,"$1,900,000","$1,900,000",-
2025-26,-,"$1,900,000",2.0%,"$1,900,000",$0,$0,"$1,450,000","$1,450,000",-
2022-23,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2020-21,-,"$1,700,000",2.1%,"$1,700,000",$0,$0,"$1,600,000","$1,600,000",-
2021-22,-,"$1,700,000",2.1%,"$1,700,000",$0,$0,"$1,800,000","$1,800,000",-
2019-20,-,"$874,125",1.1%,"$874,125",$0,$0,"$874,125","$874,125","$70,000"
2014-15,-,"$925,000",1.3%,"$1,325,000",$0,"$92,500",-,-,-
2015-16,-,"$894,167",1.3%,"$1,294,167",$0,"$92,500",-,-,-
2016-17,-,"$863,333",1.2%,"$1,263,333","$400,000","$92,500","$832,500","$925,000","$70,000"
2017-18,-,"$863,333",1.2%,"$1,263,333","$400,000",$0,"$832,500","$832,500","$70,000"
2018-19,-,"$863,333",1.1%,"$1,263,333","$400,000",$0,"$832,500","$832,500","$70,000"

