PLAYER CONTRACT SUMMARY
Player Name,Steven#91 Stamkos
NHL Player ID,8474564
Official Name,Steven Stamkos
Current Team,NSH
Position,C
Number,#91
Export Date,2025-10-16 16:38:01

DATA SUMMARY
Total Contracts,4
Total Contract Details,20

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,NSH,2024-07-01,4,32000000,,"UFACap Percent : 8.4%Signing Team: Nashville PredatorsSigning Date: Jul. 1, 2024"
Standard Contract (Extension),TBL,2016-06-29,8,68000000,,"UFACap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Jun. 29, 2016"
Standard Contract,TBL,2011-07-18,5,37500000,,"UFACap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Jul. 18, 2011"
Entry-Level Contract,TBL,2008-07-29,3,11175000,,"RFACap Percent : -%Signing Team: Tampa Bay LightningSigning Date: Jul. 29, 2008"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,NMC,"$8,000,000",9.1%,"$8,000,000",$0,"$2,000,000","$7,500,000","$9,500,000",-
2025-26,NMC,"$8,000,000",8.4%,"$8,000,000",$0,"$2,000,000","$6,750,000","$8,750,000",-
2026-27,NMC,"$8,000,000",7.7%,"$8,000,000",$0,"$2,000,000","$5,000,000","$7,000,000",-
2027-28,NMC,"$8,000,000",7.0%,"$8,000,000",$0,"$2,000,000","$4,750,000","$6,750,000",-
2016-17,NMC,"$8,500,000",11.6%,"$8,500,000",$0,"$8,500,000","$1,000,000","$9,500,000",-
2017-18,NMC,"$8,500,000",11.3%,"$8,500,000",$0,"$8,500,000","$1,000,000","$9,500,000",-
2018-19,NMC,"$8,500,000",10.7%,"$8,500,000",$0,"$8,500,000","$1,000,000","$9,500,000",-
2019-20,NMC,"$8,500,000",10.4%,"$8,500,000",$0,"$8,500,000","$1,000,000","$9,500,000",-
2020-21,NMC,"$8,500,000",10.4%,"$8,500,000",$0,"$8,500,000","$1,000,000","$9,500,000",-
2021-22,NMC,"$8,500,000",10.4%,"$8,500,000",$0,"$6,500,000","$1,000,000","$7,500,000",-
2022-23,NMC,"$8,500,000",10.3%,"$8,500,000",$0,"$5,500,000","$1,000,000","$6,500,000",-
2023-24,NMC,"$8,500,000",10.2%,"$8,500,000",$0,"$5,500,000","$1,000,000","$6,500,000",-
2011-12,-,"$7,500,000",11.7%,"$7,500,000",$0,"$4,000,000","$4,000,000","$8,000,000",-
2012-13,-,"$7,500,000",12.5%,"$7,500,000",$0,"$3,000,000","$5,000,000","$8,000,000",-
2013-14,-,"$7,500,000",11.7%,"$7,500,000",$0,$0,"$8,000,000","$8,000,000",-
2014-15,-,"$7,500,000",10.9%,"$7,500,000",$0,$0,"$8,000,000","$8,000,000",-
2015-16,NMC,"$7,500,000",10.5%,"$7,500,000",$0,$0,"$5,500,000","$5,500,000",-
2008-09,-,"$875,000",1.5%,"$3,725,000","$2,850,000","$87,500","$787,500","$875,000","$65,000"
2009-10,-,"$875,000",1.5%,"$3,725,000","$2,850,000","$87,500","$787,500","$875,000","$65,000"
2010-11,-,"$875,000",1.5%,"$3,725,000","$2,850,000","$87,500","$787,500","$875,000","$65,000"

