PLAYER CONTRACT SUMMARY
Player Name,Teddy#53 Blueger
NHL Player ID,8476927
Official Name,Teddy Blueger
Current Team,VAN
Position,C
Number,#53
Export Date,2025-10-16 16:50:13

DATA SUMMARY
Total Contracts,6
Total Contract Details,10

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract (Extension),VAN,2024-06-26,2,3600000,,"UFACap Percent : 1.9%Signing Team: Vancouver CanucksSigning Date: Jun. 26, 2024"
Standard Contract,VAN,2023-07-01,1,1900000,,"UFACap Percent : -%Signing Team: Vancouver CanucksSigning Date: Jul. 1, 2023"
Standard Contract (Extension),PIT,2021-07-14,2,4400000,,"UFACap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 14, 2021"
Standard Contract,PIT,2019-07-16,2,1500000,,"RFA (Arb)Cap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 16, 2019"
Standard Contract,PIT,2018-07-13,1,650000,,"RFA (Arb)Cap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Jul. 13, 2018"
Entry-Level Contract,PIT,2016-03-22,2,1410000,,"RFA (Arb)Cap Percent : -%Signing Team: Pittsburgh PenguinsSigning Date: Mar. 22, 2016"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2024-25,-,"$1,800,000",2.0%,"$1,800,000",$0,"$1,175,000","$775,000","$1,950,000",-
2025-26,-,"$1,800,000",1.9%,"$1,800,000",$0,"$875,000","$775,000","$1,650,000",-
2023-24,-,"$1,900,000",2.3%,"$1,900,000",$0,"$250,000","$1,650,000","$1,900,000",-
2021-22,-,"$2,200,000",2.7%,"$2,200,000",$0,$0,"$2,000,000","$2,000,000",-
2022-23,-,"$2,200,000",2.7%,"$2,200,000",$0,$0,"$2,400,000","$2,400,000",-
2019-20,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2020-21,-,"$750,000",0.9%,"$750,000",$0,$0,"$750,000","$750,000",-
2018-19,-,"$650,000",0.8%,"$650,000",$0,$0,"$650,000","$650,000","$200,000"
2016-17,-,"$705,000",1.0%,"$925,000","$257,500","$92,500","$575,000","$667,500","$70,000"
2017-18,-,"$705,000",0.9%,"$925,000","$182,500","$92,500","$650,000","$742,500","$70,000"

