PLAYER CONTRACT SUMMARY
Player Name,Tom#6 Gilbert
NHL Player ID,8470104
Official Name,Tom Gilbert
Current Team,MTL
Position,D
Number,#77
Export Date,2025-10-17 15:35:54

DATA SUMMARY
Total Contracts,5
Total Contract Details,12

CONTRACTS
Type,Team,Signing Date,Length (Years),Total Value,Cap Hit,Expiry Status
Standard Contract,LAK,2016-07-01,1,1400000,,"UFACap Percent : -%Signing Team: Los Angeles KingsSigning Date: Jul. 1, 2016"
Standard Contract,MTL,2014-07-01,2,5600000,,"UFACap Percent : -%Signing Team: Montreal CanadiensSigning Date: Jul. 1, 2014"
Standard Contract,FLA,2013-10-28,1,900000,,"UFACap Percent : -%Signing Team: Florida PanthersSigning Date: Oct. 28, 2013"
Standard Contract (Extension),EDM,2008-04-11,6,24000000,,"UFACap Percent : -%Signing Team: Edmonton OilersSigning Date: Apr. 11, 2008"
Entry-Level Contract,EDM,2006-07-21,2,1815000,,"RFA (Arb)Cap Percent : -%Signing Team: Edmonton OilersSigning Date: Jul. 21, 2006"

CONTRACT DETAILS - YEAR BY YEAR
Season,Clause,Cap Hit,Cap %,AAV,Performance Bonuses,Signing Bonuses,Base Salary,Total Salary,Minors Salary
2016-17,-,"$1,400,000",1.9%,"$1,400,000",$0,$0,"$1,400,000","$1,400,000",-
2014-15,-,"$2,800,000",4.1%,"$2,800,000",$0,$0,"$2,800,000","$2,800,000",-
2015-16,-,"$2,800,000",3.9%,"$2,800,000",$0,$0,"$2,800,000","$2,800,000",-
2013-14,-,"$900,000",1.4%,"$900,000",$0,$0,"$900,000","$900,000",-
2008-09,-,"$4,000,000",7.1%,"$4,000,000",$0,$0,"$3,500,000","$3,500,000",-
2009-10,-,"$4,000,000",7.0%,"$4,000,000",$0,$0,"$3,500,000","$3,500,000",-
2010-11,-,"$4,000,000",6.7%,"$4,000,000",$0,$0,"$5,500,000","$5,500,000",-
2011-12,-,"$4,000,000",6.2%,"$4,000,000",$0,$0,"$5,000,000","$5,000,000",-
2012-13,-,"$4,000,000",6.7%,"$4,000,000",$0,$0,"$3,500,000","$3,500,000",-
2013-14,-,"$4,000,000",6.2%,"$4,000,000",$0,$0,"$3,000,000","$3,000,000",-
2006-07,-,"$782,500",1.8%,"$907,500","$150,000","$230,000","$500,000","$730,000","$65,000"
2007-08,-,"$782,500",1.6%,"$907,500","$100,000","$230,000","$605,000","$835,000","$65,000"

